n_Gen,n_Eval,g_HV,n_valid,n_nds,v_HV,min_CV,mean_CV,max_CV,time
0,200,101193362894012.77,1,1,4397057595937.843,0.0,216.33893222144215,7717.888829812139,0.16783912500250153
1,400,139621099902046.25,2,2,4406070058443.045,0.0,173.5583675959929,363.2195788670735,13.447829916996852
2,600,163948343048801.88,3,3,20337519927266.062,0.0,182.13773029362136,369.8818502007218,2.051952874997369
3,800,164463850373978.97,7,7,23794374256135.598,0.0,173.73753576374102,368.2321118883995,6.247249166000984
4,1000,143739047781733.4,16,13,54202488208158.71,0.0,175.8104470074796,3546.4588772619454,3.042721708003228
5,1200,132663540145921.52,25,21,88537873835915.92,0.0,141.72163778540147,363.6692719014274,4.7123570410003595
6,1400,152909762871394.2,41,30,89788421250872.23,0.0,120.76449338571955,365.31219090995853,2.1218699169985484
7,1600,107856662485590.44,67,51,96391236524399.81,0.0,89.50078812381712,365.23977897725723,14.5145277920019
8,1800,104490889328403.69,90,72,101213641843318.47,0.0,88.18276548142029,370.3494706784458,11.702461083001253
9,2000,116170876430973.94,136,108,100497385225730.73,0.0,66.55482266417901,366.40934844407496,3.6257616250004503
10,2200,100941825415569.64,169,133,100892141495209.05,0.0,38.20943638838482,374.3738685113075,2.8573803750005027
11,2400,101249624769036.11,187,142,101230960939722.84,0.0,5.635100499584367,358.75473722593483,2.9425437079989933
12,2600,112396275697792.45,200,148,112396275697792.45,0.0,0.0,0.0,5.7889619169982325
13,2800,117003112712012.58,200,156,117003112712012.58,0.0,0.0,0.0,7.805968084001506
14,3000,128364024469714.38,200,161,128364024469714.38,0.0,0.0,0.0,7.616350416999921
15,3200,161444753026631.62,200,165,161444753026631.62,0.0,0.0,0.0,8.137738500001433
16,3400,166265873602724.78,200,167,166265873602724.78,0.0,0.0,0.0,8.190136499997607
17,3600,165890689458875.16,200,170,165890689458875.16,0.0,0.0,0.0,9.312328707997949
18,3800,165844801326057.03,200,156,165844801326057.03,0.0,0.0,0.0,6.330656709000323
19,4000,167681959850933.8,200,168,167681959850933.8,0.0,0.0,0.0,6.708597707998706
20,4200,166847200256031.03,200,169,166847200256031.03,0.0,0.0,0.0,7.854233208003279
21,4400,174370455782061.8,200,170,174370455782061.8,0.0,0.0,0.0,8.715806083000643
22,4600,174053087279347.44,200,171,174053087279347.44,0.0,0.0,0.0,7.203337167000427
23,4800,174313439272691.16,200,164,174313439272691.16,0.0,0.0,0.0,19.298051959001896
24,5000,173849798372318.72,200,174,173849798372318.72,0.0,0.0,0.0,25.69773504100158
25,5200,174580180450245.3,200,166,174580180450245.3,0.0,0.0,0.0,8.49696779200167
26,5400,174519361068918.84,200,167,174519361068918.84,0.0,0.0,0.0,8.606596333000198
27,5600,174345689285516.97,200,172,174345689285516.97,0.0,0.0,0.0,8.200479791998077
28,5800,174412067943568.06,200,165,174412067943568.06,0.0,0.0,0.0,9.277715332998923
29,6000,173834290926156.12,200,169,173834290926156.12,0.0,0.0,0.0,8.081111999999848
30,6200,173907313536424.6,200,176,173907313536424.6,0.0,0.0,0.0,9.383242290998169
31,6400,173712730731552.53,200,176,173712730731552.53,0.0,0.0,0.0,9.582082417000493
32,6600,170307354776883.78,200,168,170307354776883.78,0.0,0.0,0.0,8.771970500001771
33,6800,170326698407786.66,200,161,170326698407786.66,0.0,0.0,0.0,8.320773458002805
34,7000,170770913585264.03,200,168,170770913585264.03,0.0,0.0,0.0,7.6281967499999155
35,7200,170658142779247.06,200,173,170658142779247.06,0.0,0.0,0.0,7.70688245799829
36,7400,171776648145692.47,200,174,171776648145692.47,0.0,0.0,0.0,8.614002375001292
37,7600,171395939011423.56,200,172,171395939011423.56,0.0,0.0,0.0,8.040920041999925
38,7800,171346265009748.84,200,174,171346265009748.84,0.0,0.0,0.0,8.454150166002364
39,8000,171026609554552.1,200,178,171026609554552.1,0.0,0.0,0.0,8.57581829099945
40,8200,171703342582869.34,200,164,171703342582869.34,0.0,0.0,0.0,7.8738855829979
41,8400,172979001797430.44,200,177,172979001797430.44,0.0,0.0,0.0,8.646627874997648
42,8600,174152034560339.7,200,179,174152034560339.7,0.0,0.0,0.0,8.12626116699903
43,8800,174213020732226.84,200,172,174213020732226.84,0.0,0.0,0.0,8.874424958998134
44,9000,174521760743228.72,200,165,174521760743228.72,0.0,0.0,0.0,8.886735792002582
45,9200,174732191825323.6,200,164,174732191825323.6,0.0,0.0,0.0,8.959406000001763
46,9400,174743322909566.78,200,175,174743322909566.78,0.0,0.0,0.0,8.4255403749994
47,9600,174978475755210.47,200,175,174978475755210.47,0.0,0.0,0.0,7.632844250001654
48,9800,175405809588090.0,200,169,175405809588090.0,0.0,0.0,0.0,8.471827291999944
49,10000,175511615011761.72,200,176,175511615011761.72,0.0,0.0,0.0,8.172715833999973
50,10200,175550507071033.5,200,181,175550507071033.5,0.0,0.0,0.0,7.996677416998864
