n_Gen,n_Eval,g_HV,n_valid,n_nds,v_HV,min_CV,mean_CV,max_CV,time
0,200,125520423481683.53,1,1,26195219581603.7,0.0,293.55943449678756,23282.63637365724,0.9017643330007559
1,400,116562754484785.0,7,6,59852790622072.234,0.0,168.12238851625446,377.6897949113993,0.7552662080124719
2,600,121352968554726.08,14,13,61095674364122.19,0.0,154.33326837652234,377.6897949113993,0.7605621249967953
3,800,135886189949934.53,17,15,106833990404186.55,0.0,138.5406454394283,377.02119816923823,0.7727994580054656
4,1000,148867172141176.12,28,21,109228606019037.98,0.0,112.2069071013529,365.28662793438923,0.7679118339874549
5,1200,117346259582317.44,55,40,110429630821040.97,0.0,354.77426156553366,47873.70620354044,0.795102959003998
6,1400,130332481060616.72,123,67,111747679961983.94,0.0,30.62088965382304,1585.1344516207832,0.7781374589976622
7,1600,130043905996100.9,172,116,126283949698313.88,0.0,3.0520436387259453,75.59985046538083,2.3160702500026673
8,1800,133902507568878.64,195,130,133902087402065.4,0.0,0.1940048166771266,14.996472890726523,5.705041541994433
9,2000,136228371013573.56,200,149,136228371013573.56,0.0,0.0,0.0,5.212570708987187
10,2200,152215158418487.7,200,154,152215158418487.7,0.0,0.0,0.0,7.252377333003096
11,2400,152472196866887.78,200,163,152472196866887.78,0.0,0.0,0.0,8.44042937499762
12,2600,162137845532057.34,200,153,162137845532057.34,0.0,0.0,0.0,10.186772457993357
13,2800,162273148766166.1,200,157,162273148766166.1,0.0,0.0,0.0,11.128864374986733
14,3000,162089678938210.75,200,155,162089678938210.75,0.0,0.0,0.0,11.231681749995914
15,3200,162603645569154.94,200,161,162603645569154.94,0.0,0.0,0.0,424.7204037909978
16,3400,162326858400223.3,200,152,162326858400223.3,0.0,0.0,0.0,1456.5066821660002
17,3600,167978817804753.84,200,151,167978817804753.84,0.0,0.0,0.0,2866.6997802090045
18,3800,168075798206714.75,200,160,168075798206714.75,0.0,0.0,0.0,3377.186230291991
19,4000,175421652392813.03,200,173,175421652392813.03,0.0,0.0,0.0,3305.3538038330007
20,4200,171721818484846.97,200,168,171721818484846.97,0.0,0.0,0.0,3630.7689920409903
