n_Gen,n_Eval,g_HV,n_valid,n_nds,v_HV,min_CV,mean_CV,max_CV,time
0,200,81679582435685.55,1,1,66424552391036.95,0.0,154.9831899249856,329.19956525119653,0.23898899997584522
1,400,92957455804413.55,3,3,67667500661162.375,0.0,142.51741112114308,321.76533026632103,0.7778718749759719
2,600,84760187387672.9,6,6,69335119900098.87,0.0,147.3316235548964,328.5144791307255,0.7677065000170842
3,800,86092925692931.97,11,9,69445191723580.01,0.0,141.41856381694902,329.379767331529,0.7858152080152649
4,1000,84302581427942.73,21,18,73036057577007.3,0.0,126.95994034056565,333.4751900032609,0.7672704590077046
5,1200,105331668468220.72,32,27,73139014340440.19,0.0,102.73433945840577,329.0865207858302,0.769355208001798
6,1400,122111085071075.89,58,41,87455938485842.62,0.0,89.94901929062057,329.462497058615,0.7822987920080777
7,1600,92726289781133.39,114,64,88619604146848.16,0.0,41.08207430412354,327.1275807254791,0.8202067910169717
8,1800,110174581375696.0,160,92,91105457370093.69,0.0,9.21985662518207,234.19508953232153,3.4857426660018973
9,2000,94721145852294.3,182,110,94697235124988.84,0.0,4.220388354043721,285.572115890908,6.18554779200349
10,2200,96646976916972.11,200,127,96646976916972.11,0.0,0.0,0.0,6.777430416987045
11,2400,114135166066455.44,200,145,114135166066455.44,0.0,0.0,0.0,8.631805291981436
12,2600,115054437033657.64,200,148,115054437033657.64,0.0,0.0,0.0,8.072869083000114
13,2800,144926275304631.2,200,141,144926275304631.2,0.0,0.0,0.0,8.79819829101325
14,3000,148807132871583.7,200,150,148807132871583.7,0.0,0.0,0.0,10.149688958015759
15,3200,151002401316539.78,200,150,151002401316539.78,0.0,0.0,0.0,10.811714209005004
16,3400,163937853781325.9,200,138,163937853781325.9,0.0,0.0,0.0,12.349346750008408
17,3600,155491232311293.6,200,145,155491232311293.6,0.0,0.0,0.0,444.62298700000974
18,3800,158382049858294.47,200,156,158382049858294.47,0.0,0.0,0.0,1599.8690988750022
19,4000,153712229735868.8,200,164,153712229735868.8,0.0,0.0,0.0,1997.6292958330014
20,4200,153083380839963.5,200,166,153083380839963.5,0.0,0.0,0.0,2187.5451784160105
