n_Gen,n_Eval,g_HV,n_valid,n_nds,v_HV,min_CV,mean_CV,max_CV,time
0,200,121203365374756.0,2,2,42420053013422.37,0.0,181.00312336797134,382.301567179564,0.1614395840006182
1,400,125532230376434.6,2,2,42420053013422.37,0.0,195.70367820909814,382.5519885981398,0.7957552919979207
2,600,121613273820555.31,8,8,99302425639509.33,0.0,181.8538047122104,380.3778665314784,0.7699442080047447
3,800,119327157022095.39,19,18,101700909219721.05,0.0,163.4122949131974,381.73384356591635,0.7696796249947511
4,1000,121535009332753.86,42,34,111744167268771.72,0.0,122.7987203037525,382.5879782570089,0.7794813329965109
5,1200,126542319293731.97,72,61,112101328264024.05,0.0,101.17570066248963,381.87673107065086,0.794555999993463
6,1400,136599104239275.66,102,77,127628680907454.73,0.0,56.83200955980388,378.1965694379216,0.9921110409923131
7,1600,136381368389905.88,130,99,128544775289263.72,0.0,24.409315327420355,360.07813003180604,3.2400096249912167
8,1800,131201463676828.31,186,129,131201460689557.25,0.0,2.7699395236676465,154.55318482901544,5.4691350840003
9,2000,129383010388679.38,200,151,129383010388679.38,0.0,0.0,0.0,5.784379832999548
10,2200,144684317363598.16,200,155,144684317363598.16,0.0,0.0,0.0,8.896113209004398
11,2400,146968007968293.97,200,163,146968007968293.97,0.0,0.0,0.0,7.897923250013264
12,2600,147105579502557.22,200,154,147105579502557.22,0.0,0.0,0.0,9.919830500002718
13,2800,164045171762225.53,200,144,164045171762225.53,0.0,0.0,0.0,10.600048499996774
14,3000,165016475312434.56,200,160,165016475312434.56,0.0,0.0,0.0,483.23911879099614
15,3200,171280584867633.5,200,175,171280584867633.5,0.0,0.0,0.0,887.647590624998
16,3400,171876993251678.12,200,176,171876993251678.12,0.0,0.0,0.0,1848.591138082993
17,3600,172828809785044.1,200,177,172828809785044.1,0.0,0.0,0.0,2347.798078874999
18,3800,171669143937961.34,200,166,171669143937961.34,0.0,0.0,0.0,2713.779805875005
19,4000,171681688469222.9,200,167,171681688469222.9,0.0,0.0,0.0,3511.843579499997
20,4200,173428151721903.28,200,176,173428151721903.28,0.0,0.0,0.0,3683.876269290995
