n_Gen,n_Eval,g_HV,n_valid,n_nds,v_HV,min_CV,mean_CV,max_CV,time
0,200,125712112845059.36,1,1,31478486715197.42,0.0,193.21432216849178,380.0941726310183,0.1801718750002692
1,400,117649081890703.69,1,1,31478486715197.42,0.0,192.7167294046021,381.5049438766132,2.0914696660001937
2,600,112820472925220.19,3,3,62814546666310.88,0.0,195.24954081584022,390.4696897922423,13.11852587500016
3,800,130822187671628.75,6,6,79914413977738.56,0.0,166.2434851241464,382.04568316586625,11.675890417000119
4,1000,135791949305756.44,10,10,79918163877505.61,0.0,144.5255341861361,382.43240077553685,9.054979999999887
5,1200,124210936925020.81,16,14,99107007550973.98,0.0,133.75961121517187,378.9176245335166,2.0708183750002718
6,1400,128722002645851.72,24,20,99285214948677.8,0.0,148.7557592978841,380.81629524695813,13.32000833300026
7,1600,162232256442041.3,44,30,156963495024928.12,0.0,129.20889335580296,388.153196296436,9.760962457999995
8,1800,166104807245683.38,84,47,161326188163862.06,0.0,71.4899664084902,378.96308673151765,3.8592098330000226
9,2000,163904727315925.7,143,68,163431449586987.5,0.0,34.893644015107014,378.29630469167756,2.6452194160001454
10,2200,163348436964724.12,169,93,163274684248559.34,0.0,18.977577854851532,340.7171395628842,7.307425832999797
11,2400,155695039680245.97,186,113,155570971788151.4,0.0,8.120468023051158,315.0992611251895,8.211993459000041
12,2600,160744748188141.0,200,129,160744748188141.0,0.0,0.0,0.0,7.65225483300037
13,2800,160284701532721.22,200,147,160284701532721.22,0.0,0.0,0.0,9.051189374999922
14,3000,169727767980373.88,200,163,169727767980373.88,0.0,0.0,0.0,8.170925958000225
15,3200,169103045243626.5,200,160,169103045243626.5,0.0,0.0,0.0,9.122113708000143
16,3400,168704374128954.94,200,170,168704374128954.94,0.0,0.0,0.0,8.774903708000238
17,3600,169650573541796.6,200,178,169650573541796.6,0.0,0.0,0.0,9.422695458000817
18,3800,191287127340223.75,200,177,191287127340223.75,0.0,0.0,0.0,9.274356375000025
19,4000,190652786654307.0,200,184,190652786654307.0,0.0,0.0,0.0,9.372628500000246
20,4200,192761544937723.8,200,178,192761544937723.8,0.0,0.0,0.0,9.424461083000097
21,4400,195039743464561.2,200,163,195039743464561.2,0.0,0.0,0.0,7.870091166999373
22,4600,193912320730228.97,200,171,193912320730228.97,0.0,0.0,0.0,8.096958000000086
23,4800,193613829493422.62,200,180,193613829493422.62,0.0,0.0,0.0,8.743553625000459
24,5000,194586620036583.25,200,181,194586620036583.25,0.0,0.0,0.0,7.962382082999284
25,5200,194691044413682.47,200,166,194691044413682.47,0.0,0.0,0.0,8.692298625000149
26,5400,195507064393600.75,200,185,195507064393600.75,0.0,0.0,0.0,9.964241167000182
27,5600,196572915950190.34,200,169,196572915950190.34,0.0,0.0,0.0,9.687009082999793
28,5800,194326023140279.7,200,174,194326023140279.7,0.0,0.0,0.0,8.625542374999895
29,6000,193087484383368.88,200,184,193087484383368.88,0.0,0.0,0.0,9.104131709000285
30,6200,193203145772157.47,200,173,193203145772157.47,0.0,0.0,0.0,7.160790124999949
31,6400,193887121009133.16,200,173,193887121009133.16,0.0,0.0,0.0,8.786523166999359
32,6600,196225540849383.12,200,168,196225540849383.12,0.0,0.0,0.0,8.058019375000185
33,6800,197399623986331.2,200,179,197399623986331.2,0.0,0.0,0.0,9.559030209000412
34,7000,197845484878222.4,200,168,197845484878222.4,0.0,0.0,0.0,9.40828133300056
35,7200,196847053000862.22,200,184,196847053000862.22,0.0,0.0,0.0,9.069874041999356
36,7400,203179980527432.0,200,179,203179980527432.0,0.0,0.0,0.0,8.884760375000042
37,7600,204731737851788.62,200,186,204731737851788.62,0.0,0.0,0.0,8.633879207999598
38,7800,203671676564637.0,200,186,203671676564637.0,0.0,0.0,0.0,8.117554665999705
39,8000,204797305783946.2,200,178,204797305783946.2,0.0,0.0,0.0,8.815591832999417
40,8200,204293228540474.16,200,188,204293228540474.16,0.0,0.0,0.0,9.01839820800069
41,8400,206752506647931.6,200,186,206752506647931.6,0.0,0.0,0.0,9.334085999999843
42,8600,202232908126286.78,200,189,202232908126286.78,0.0,0.0,0.0,8.576887665999493
43,8800,205034168461197.94,200,170,205034168461197.94,0.0,0.0,0.0,9.891431749999356
44,9000,204826111588933.75,200,170,204826111588933.75,0.0,0.0,0.0,9.45460550000007
45,9200,205836160413692.78,200,183,205836160413692.78,0.0,0.0,0.0,9.340492082999845
46,9400,206399682886834.75,200,184,206399682886834.75,0.0,0.0,0.0,8.655709290999766
47,9600,205862909865712.8,200,182,205862909865712.8,0.0,0.0,0.0,9.399049290999756
48,9800,205379516706312.1,200,187,205379516706312.1,0.0,0.0,0.0,9.624699166999562
49,10000,207350360607527.88,200,177,207350360607527.88,0.0,0.0,0.0,10.085413458999938
50,10200,207898899824880.94,200,182,207898899824880.94,0.0,0.0,0.0,7.807343166999999
