n_Gen,n_Eval,g_HV,n_valid,n_nds,v_HV,min_CV,mean_CV,max_CV,time
0,200,108224377724616.62,1,1,58982402328319.36,0.0,142.89069234887972,327.38258198518827,0.2576602910003203
1,400,113208436918632.53,3,3,72404376624518.42,0.0,140.12449902382764,329.09263043741544,2.1275401670000065
2,600,100405403305165.08,7,6,72938186113490.06,0.0,119.2534048028092,328.4327936964469,5.607748166999954
3,800,122664733438626.56,9,8,78085175264066.58,0.0,111.49599693163432,324.44995465135594,8.373188833000313
4,1000,108859144796398.55,20,12,83820838122707.55,0.0,105.17988855266567,329.64083715977824,3.3467538339991734
5,1200,111958270855784.03,39,23,84669429715743.97,0.0,82.73274252637123,329.7620494570323,5.357142332999501
6,1400,108927235677804.6,74,45,107568131708183.78,0.0,72.29641268366483,320.0942437265629,7.105322916999285
7,1600,148746138814445.47,110,76,111552353909599.66,0.0,46.435290095638955,330.0435192177522,19.362957500000448
8,1800,117111819638872.19,175,90,117081135281965.94,0.0,6.987117055500939,322.61669091371675,7.939026459000161
9,2000,125057857765397.5,200,121,125057857765397.5,0.0,0.0,0.0,5.980848624999453
10,2200,150202023492531.88,200,150,150202023492531.88,0.0,0.0,0.0,7.936854041000515
11,2400,154981661988119.78,200,135,154981661988119.78,0.0,0.0,0.0,7.162715208999543
12,2600,161208775485767.0,200,137,161208775485767.0,0.0,0.0,0.0,7.284401666000122
13,2800,157782841219911.25,200,147,157782841219911.25,0.0,0.0,0.0,6.936044208000567
14,3000,147223339333546.0,200,143,147223339333546.0,0.0,0.0,0.0,7.862591374999283
15,3200,135230212870696.19,200,151,135230212870696.19,0.0,0.0,0.0,7.8124909159996605
16,3400,159091360223564.2,200,154,159091360223564.2,0.0,0.0,0.0,7.689303125000151
17,3600,159135439601716.53,200,146,159135439601716.53,0.0,0.0,0.0,7.1634033329992235
18,3800,154746850565587.25,200,151,154746850565587.25,0.0,0.0,0.0,8.937612042000183
19,4000,156111860865066.88,200,165,156111860865066.88,0.0,0.0,0.0,6.584176458999536
20,4200,159211080628588.34,200,171,159211080628588.34,0.0,0.0,0.0,7.747685250000359
21,4400,161394683076008.34,200,169,161394683076008.34,0.0,0.0,0.0,9.34773899999982
22,4600,167354585055031.38,200,177,167354585055031.38,0.0,0.0,0.0,8.128574749999643
23,4800,166509368205779.7,200,163,166509368205779.7,0.0,0.0,0.0,8.96897749999971
24,5000,170178007637639.84,200,160,170178007637639.84,0.0,0.0,0.0,8.295839583999623
25,5200,170251766620423.72,200,166,170251766620423.72,0.0,0.0,0.0,7.193003750000571
26,5400,169647590906432.97,200,179,169647590906432.97,0.0,0.0,0.0,8.000962500000242
27,5600,169609273114097.6,200,158,169609273114097.6,0.0,0.0,0.0,7.753524083999764
28,5800,169747098897900.62,200,168,169747098897900.62,0.0,0.0,0.0,8.278324666000117
29,6000,169232651670953.5,200,175,169232651670953.5,0.0,0.0,0.0,8.310300291999738
30,6200,169273966108216.94,200,154,169273966108216.94,0.0,0.0,0.0,8.572166959000242
31,6400,168948661398255.53,200,167,168948661398255.53,0.0,0.0,0.0,9.103659917000186
32,6600,170060062008386.6,200,179,170060062008386.6,0.0,0.0,0.0,8.824688249999781
33,6800,169040744210331.16,200,180,169040744210331.16,0.0,0.0,0.0,10.551670124999873
34,7000,162656158405927.06,200,170,162656158405927.06,0.0,0.0,0.0,9.234891625000273
35,7200,166011537298884.2,200,169,166011537298884.2,0.0,0.0,0.0,8.740198999999848
36,7400,166294111297690.12,200,175,166294111297690.12,0.0,0.0,0.0,8.672391374999279
37,7600,164673254714362.9,200,170,164673254714362.9,0.0,0.0,0.0,9.20197329199982
38,7800,164477954384977.22,200,168,164477954384977.22,0.0,0.0,0.0,8.490096709000682
39,8000,164577032846050.44,200,167,164577032846050.44,0.0,0.0,0.0,9.04882229100076
40,8200,164731021091294.47,200,172,164731021091294.47,0.0,0.0,0.0,7.776042624999718
41,8400,165675096861864.97,200,178,165675096861864.97,0.0,0.0,0.0,7.156956666000042
42,8600,166928810455856.25,200,179,166928810455856.25,0.0,0.0,0.0,8.613256666999405
43,8800,165908412106347.38,200,171,165908412106347.38,0.0,0.0,0.0,9.35637991600015
44,9000,166024970240535.88,200,183,166024970240535.88,0.0,0.0,0.0,9.852196541999547
45,9200,166245857207411.9,200,182,166245857207411.9,0.0,0.0,0.0,8.201893542000107
46,9400,166217861014844.44,200,178,166217861014844.44,0.0,0.0,0.0,10.035462584000015
47,9600,167776706380639.66,200,166,167776706380639.66,0.0,0.0,0.0,8.897251584000514
48,9800,166597494714197.97,200,186,166597494714197.97,0.0,0.0,0.0,8.408384624999599
49,10000,166357674782823.06,200,179,166357674782823.06,0.0,0.0,0.0,7.951783999999861
50,10200,166113078823835.5,200,170,166113078823835.5,0.0,0.0,0.0,8.014268916999754
