n_Gen,n_Eval,g_HV,n_valid,n_nds,v_HV,min_CV,mean_CV,max_CV,time
0,200,94318544300930.94,1,1,29263584211099.45,0.0,147.34387312837788,331.4338045887099,0.24030195901286788
1,400,119876916896705.9,9,7,89565936819862.22,0.0,118.3778971991684,330.35136379145615,0.7945932089933194
2,600,132912952981487.44,12,9,96694552485299.77,0.0,111.30319755847763,326.7912230017471,0.7868812920060009
3,800,123334096991238.77,20,16,102599966012777.12,0.0,97.42136558595239,326.7912230017471,0.7689202920009848
4,1000,122066570393291.73,45,30,110452361359322.56,0.0,70.26432777233882,326.7205824079282,0.7788330000184942
5,1200,115718338076787.72,94,59,113917972105432.03,0.0,43.45094161770985,326.6638993793604,0.7996289579896256
6,1400,126442974221308.39,117,85,121730050680321.06,0.0,43.982480041459254,322.64822999677483,3.17897087498568
7,1600,129129542199541.0,151,112,122240564961152.05,0.0,26.82092624252433,329.5378095732425,7.064487458002986
8,1800,128279159289479.9,180,125,127440222411925.44,0.0,2.357847980464293,180.43122204180295,8.052382124995347
9,2000,131071752189550.28,200,154,131071752189550.28,0.0,0.0,0.0,9.779395291989204
10,2200,145963273516867.97,200,157,145963273516867.97,0.0,0.0,0.0,11.87054658299894
11,2400,158921116256620.44,200,156,158921116256620.44,0.0,0.0,0.0,12.432530208985554
12,2600,158444839982596.03,200,153,158444839982596.03,0.0,0.0,0.0,163.5765515420062
13,2800,149787262660387.62,200,153,149787262660387.62,0.0,0.0,0.0,984.9200584590144
14,3000,149763012062888.94,200,147,149763012062888.94,0.0,0.0,0.0,1651.9215517499833
15,3200,149561423822649.97,200,161,149561423822649.97,0.0,0.0,0.0,2120.5676482499985
16,3400,162204701173337.8,200,168,162204701173337.8,0.0,0.0,0.0,2360.7999487909838
17,3600,161562021917509.7,200,157,161562021917509.7,0.0,0.0,0.0,1799.8998509999947
18,3800,162686064716471.03,200,160,162686064716471.03,0.0,0.0,0.0,2684.9626375410007
19,4000,163455947879766.06,200,157,163455947879766.06,0.0,0.0,0.0,2119.478634583007
20,4200,163429364751342.0,200,164,163429364751342.0,0.0,0.0,0.0,2665.2507307920023
