SpecificEnergy,SEIGrouth,TempIncrease,Price,UpperViolation,LowerViolation,VolFracViolation,C,la,lp,lo,ln,lz,Lh,Rp,Rn,Rcell,efp,efo,efn,mat,Ns,Np
-88445.42156231818,2.5602452305439294,0.09168061441333863,28154.765543797537,-4.646035622767712,-0.15396437723229894,-0.24354959882484695,0.329017556809657,2.70089538380971e-05,0.0002452958542321916,9.179073432617139e-05,0.0001390169771446965,1.852130990639836e-05,0.04749833690672141,7.367015985120864e-06,4.7519643403918465e-05,0.015003030093739773,0.051530154599912725,0.4812851109131813,0.15363513566205916,LFP,12,32
-143985.99050957154,2.282937093487079,0.060445825308728295,29525.092169607113,-1.0505085936657963,-3.749491406334215,-0.2578864455027975,0.23744886021540143,2.6822828764234152e-05,0.00010676802266593641,1.0448227879614036e-05,5.639824039885174e-05,1.2268007153026278e-05,0.06625298497872796,1.672783676762664e-05,4.9420635139216195e-05,0.015759768640795892,0.10273264902956587,0.5431734825521245,0.026207422915512108,LFP,13,22
-220231.30717804836,2.1067113355036953,0.014650457056916038,363546.17417833966,-0.5896494338108553,-4.210350566189156,-0.18764008331928272,0.32985393500919896,2.42563305434749e-05,4.302152219007965e-05,9.761640748776786e-05,0.00014627678000943183,2.8452714322315333e-05,0.07677447668794424,5.682186128217484e-06,4.3460382660917216e-05,0.024302227120203856,0.03660658260503851,0.5345114720684976,0.17124186200718133,LCO,13,96
-393277.88347595517,2.4715065856955816,0.06382305211725937,126890.24790083096,-0.8691575230214639,-3.9308424769785475,-0.18084245940791555,0.2907089364798624,1.2317180918653716e-05,0.00023225331717583125,6.723427910035128e-05,0.00011161179272765984,2.8667602647648078e-05,0.09599730274818147,3.3180907540286663e-06,4.3393090596682916e-05,0.02285762318632728,0.13042249736938707,0.44735126984266227,0.17138377338003521,LFP,13,29
-163838.0712259111,2.300919286869635,0.010516121289813656,124119.92539072434,-0.3674488434199077,-4.432551156580104,-0.2670024199672142,0.23278505831065785,1.6613881587876568e-05,0.00020127093366113907,1.0187046829687818e-05,0.00011949059468212537,2.611987873526489e-05,0.07625684330781497,9.148218019441392e-06,4.08717992963195e-05,0.015351023630530666,0.11682267780509328,0.13464463325473017,0.4115302689729624,LFP,13,78
-137513.5256278302,2.162118811980263,0.01074289447563168,224422.548170388,-0.5391723300836588,-4.2608276699163525,-0.8003432262372252,0.2603905309162216,1.779462184598999e-05,7.680027410404153e-05,8.302482082797578e-05,0.00013378224010839626,2.7022843394638843e-05,0.05327521480337147,1.6623791207234055e-05,4.000492069848451e-05,0.02071514154639846,0.0165384014948584,0.015519265719879908,0.09759910654803658,LCO,13,93
-259812.9605908785,2.6285685243854156,0.08566638280060265,84887.43404851064,-0.9546398645188887,-3.8453601354811227,-0.2726035255691326,0.28478885225355877,2.9854674560827493e-05,0.00023713403157315724,7.03680300458774e-05,9.012719078213881e-05,2.490779023601985e-05,0.08738083295046586,5.383784368802948e-06,5.1853871794541246e-06,0.02096991512255904,0.07672391812781934,0.5683650293796098,0.012307526923438408,LCO,13,25
-165988.82529698912,2.345941721761882,0.014947300904998267,78268.3892948355,-0.37508837115154137,-4.42491162884847,-0.33698877473588473,0.2988708176484245,2.888652557343878e-05,0.00012709746258025856,1.0856225261505093e-05,7.283286839612826e-05,2.6443351992306593e-05,0.04022129305925764,1.6545391607580526e-05,4.673440671357983e-05,0.017354888611179318,0.04802474413827705,0.04087132341855228,0.504115157707286,LCO,13,77
-21175.887393681223,2.278125505172694,0.018631392805419127,10975.09209950982,-4.256720593491238,-0.5432794065087734,-0.10153620734680513,0.29070802966888987,2.5137951774335296e-05,0.00018206061474757327,1.1211600218329403e-05,0.00014487935471548557,2.676653530133228e-05,0.08166277675828101,4.325146854335503e-06,4.4556066131078734e-05,0.005372108192817715,0.12630337488892418,0.2314814363665967,0.47067898139767406,LFP,12,62
-267734.2934059202,2.4666568147053334,0.027053445184982972,146292.0550515968,-0.5497306703218356,-4.250269329678176,-0.25762779964665217,0.5696093221481048,2.3833804534389207e-05,0.00014172316779565363,1.887259302327448e-05,7.290748417419036e-05,1.4042787405806394e-05,0.087425754139707,5.537203475275797e-06,3.735502879330595e-05,0.015101576965381782,0.025768847581849674,0.39817170761627374,0.24843164515522453,LFP,13,86
-98170.40953297033,2.3416712013516205,0.008691724573458662,104745.75771077278,-0.5490296880116787,-4.250970311988333,-0.38082346319291016,0.2054305732872168,1.595528753480087e-05,4.9586911576408903e-05,1.043907148098263e-05,8.797597269019432e-05,2.6240206236199857e-05,0.07226548388622756,1.704872246954605e-05,1.0758864679271502e-05,0.013375003025229927,0.034179320491340544,0.017152858843706188,0.49784435747204314,LCO,13,95
-30659.084651936777,2.4387703710320845,0.3333155475662833,2616.237230259916,-2.2336045990474247,-2.5663954009525867,-0.16074011697821367,0.29451097033472057,2.3145583193859967e-05,9.040861576912317e-05,1.6564538235562964e-05,0.00012819947879722844,2.8925288467651382e-05,0.0820323415254718,1.0507385846310056e-05,9.231498199990031e-06,0.0070320763732914454,0.06511861870825525,0.3406379799768591,0.36350328433667206,LCO,13,8
-207515.58626854623,2.5275969836594245,0.1443116761477616,53466.58655594332,-0.9601392041985477,-3.8398607958014637,-0.27242453688493995,0.2705349602800612,2.965122094939021e-05,0.0002371370832768128,6.932475538700516e-05,8.974546257399545e-05,1.2298727383878007e-05,0.09020116577520375,1.9814458257938022e-05,3.321988457508226e-05,0.016302574074139552,0.0767864298479819,0.5684180064950505,0.012371026772027782,LFP,13,25
-262885.1809850061,2.398059234027946,0.023305537910926544,220013.7723241176,-0.5872591111371577,-4.212740888862854,-0.4739246484675355,0.4778174574941687,1.5067924799593724e-05,0.00024165866874838396,4.6366107047994895e-05,9.976429285221992e-05,2.6962312303120773e-05,0.08568391966663129,7.097569660849882e-07,4.477132571944996e-05,0.016865428218964376,0.12719233722181475,0.10042718658197779,0.228455827728672,LFP,13,93
-169377.67569089588,2.699629778856807,0.13526967038251259,49315.0432700732,-1.0273711371618361,-3.7726288628381752,-0.31500911098498796,0.2925351848936807,2.519975301068501e-05,0.0002392593678697887,7.195582034695799e-05,5.9531605059527176e-05,2.8508517677312396e-05,0.0527359619130489,1.6718980825256048e-05,6.470228196073841e-06,0.021866666097003825,0.019685180920287877,0.021111371246338086,0.5741943368483862,LCO,13,22
-138701.83136921364,2.8690304998846745,3.5827884701310824,15725.64515825762,-2.5597373395862277,-2.2402626604137836,-0.7487749190212679,0.3759573127747092,1.997251965092721e-05,6.138664011203309e-05,3.838517157789657e-05,7.874458213533896e-05,2.9894462606578358e-05,0.06438988156126196,1.8989859560140676e-05,4.643255662998732e-05,0.020535515008475863,0.13139012832863317,0.018155568943823586,0.03167938370627541,LCO,13,6
-61769.959672172685,2.2921944302784807,0.012089975324061425,72387.29503637156,-0.5596305595445514,-4.24036944045546,-0.49845161602210764,0.2936379297330655,2.4468806611037373e-05,0.00016876449012793342,9.770796282720184e-05,0.00014243036898223862,2.7235176723261966e-05,0.044237886811531915,2.3202266969192187e-07,4.483287396420925e-05,0.013352523760227233,0.07596645833339477,0.08943056696828695,0.2661513586762107,LFP,13,95
-128460.33488592823,2.249439017990431,0.011176039492778818,99432.39085195905,-0.4835990589008716,-4.31640094109914,-0.4245509443698873,0.21501297380066225,2.731545855326361e-05,7.821972232792626e-05,1.8597192462184436e-05,5.6748628346298725e-05,1.400372616708849e-05,0.09215148639371872,5.532673508206298e-06,4.351648247661229e-05,0.011927793877059192,0.025709901185339813,0.06341414643433217,0.41632500801044076,LFP,13,89
-330186.5227758802,2.4762279004283947,0.02276362991934351,226428.43750778786,-0.4879864503676501,-4.312013549632361,-0.24955978160492298,0.43357862793206925,1.78282792169e-05,0.00018883838560777714,1.2602274626971364e-05,8.595990866163818e-05,1.5004526055418648e-05,0.08905379539849849,6.777632902633215e-06,3.6089956092980116e-05,0.01846931597632384,0.0543828345768063,0.12999461569299833,0.4960627681252725,LCO,13,84
-90966.5534241594,2.332400618477834,0.014590952614645034,63607.609914198234,-0.3763360415523209,-4.4236639584476904,-0.7557396036784466,0.29245179023917545,2.4473185116516772e-05,0.0002089803066110072,3.5093808950745336e-05,0.0001423989606298895,1.5973930095181873e-05,0.04345119627484538,5.279463786999943e-06,4.819548000414692e-05,0.013256526115348118,0.0712966868910062,0.029232846423128945,0.07373086300741832,LFP,13,78
-234745.14176017078,2.3227190023380437,0.00886724488004682,226705.27932670226,-0.5569180778146219,-4.2430819221853895,-0.2209553742446101,0.2054033178777072,1.6341203337073736e-05,0.0001694919707101205,6.110705738980802e-05,0.00010793521359639424,2.590596928721297e-05,0.07220651434611737,6.903402026177842e-07,3.9685586663588975e-05,0.01928188665239608,0.10727275227669797,0.09940664028797208,0.5023652331907199,LCO,13,96
