SpecificEnergy,SEIGrouth,TempIncrease,Price,UpperViolation,LowerViolation,VolFracViolation,C,la,lp,lo,ln,lz,Lh,Rp,Rn,Rcell,efp,efo,efn,mat,Ns,Np
-247450.47069167095,2.174957059338453,0.014612765588004228,164137.04733312037,-0.38993365783576195,-4.410066342164249,-0.3343503579856283,0.20765108372450042,2.9375647902468197e-05,9.86380784346943e-05,1.2604568232686846e-05,0.00014791057451372756,1.6595365720589906e-05,0.05071585982489173,6.8907001252948135e-06,4.607193978896502e-05,0.024969122824027565,0.10910680387380099,0.1862371097487427,0.3003057283918281,LCO,13,59
-24695.028605705542,2.5827505632944705,0.4640499793917541,1691.9215473539589,-2.1940630867516617,-2.6059369132483496,-0.34245649434194225,0.2487147891441123,2.594521045178441e-05,0.00017845787493435134,1.1665001422543547e-05,0.0001065447130511033,2.6361471874765303e-05,0.05554123719146878,1.4109043503177728e-05,4.495819703208263e-05,0.0065738794290362,0.012948746428412594,0.18810465621932368,0.3864901030103215,LFP,13,8
-15020.772003434078,2.0969749188281197,0.0212529635449204,17378.246693138793,-0.36599684316382053,-4.434003156836191,-0.5258375677263336,0.3395310584756275,1.7940542686104992e-05,5.8273000711530636e-05,4.296174608641418e-05,0.00013679990726187224,2.998258965271191e-05,0.043743440201774446,1.5314913941056034e-05,4.646283509837034e-05,0.007888686819985143,0.04234134483790657,0.023312205594451865,0.338508881841308,LCO,13,68
-231198.2627872002,2.89241560086393,0.31264017920994325,26461.72550929341,-2.180398453991181,-2.6196015460088304,-0.32281418326474876,0.23337579393591365,1.3432377693084605e-05,0.00018233812080517108,1.1587784199730537e-05,5.455117325199942e-05,2.9418920744580286e-05,0.08192993294935044,1.86211975210878e-05,4.4831173890014745e-05,0.02134963038482595,0.047384401903695694,0.19208925482988168,0.36771216000167395,LCO,13,8
-219045.97104600264,2.1971278151585287,0.009033356205792186,174404.61505525638,-0.4761907399350136,-4.323809260064998,-0.3476494876143743,0.21637988860074558,1.8227715889438282e-05,9.911967285196124e-05,1.626542450803755e-05,9.231226286087447e-05,2.8761329981022824e-05,0.04400236234275877,1.3823882870482831e-05,4.0549284962623953e-05,0.022748551611969065,0.09368525495311018,0.046235741282316,0.44242951615019954,LCO,13,88
-121162.14595078665,2.102346485932622,0.0156491790249387,103576.76897548011,-0.5892504309163513,-4.21074956908366,-0.32413797653763443,0.38816517182082616,2.743710428623889e-05,5.595031760722521e-05,3.488335974472099e-05,0.0001489821692660862,2.8057042472305755e-05,0.0795144549992428,1.0794353818825233e-06,4.600078171731789e-05,0.012599347881614665,0.023798312433108034,0.021684706131718336,0.5603790048975392,LFP,13,96
-380787.0322394316,2.799349508143204,0.7187927499180544,80754.68417983668,-1.1698833518666447,-3.6301166481333667,-0.39750057131010785,0.30920669129105055,1.6354822816658727e-05,0.00024088282621566046,1.6617613956483638e-05,4.0292040138070025e-05,1.4254421099649563e-05,0.093300681159002,6.62605990620581e-06,4.242076870578803e-05,0.021471605102801338,0.03163445249602195,0.38639701295723505,0.11446796323663519,LFP,13,20
-41889.22517075668,2.2357940921012416,0.009379214747923689,35159.9029965384,-0.5271598486469316,-4.27284015135308,-0.6597089931840452,0.20180769441715646,2.2981129270032303e-05,8.087051046258949e-05,1.6786284792916983e-05,5.422664137768438e-05,1.295521720706593e-05,0.04556508053789577,7.576586432870748e-06,4.2876549864670724e-05,0.0093567945006283,0.05115061919305326,0.05695760854958097,0.16218277907332068,LCO,13,93
-235556.46966421534,2.1930074667463537,0.030889606262985543,53949.066318098216,-0.8399287064491219,-3.9600712935508895,-0.319094879868013,0.2849116376664182,2.7812701186820728e-05,7.904744832502411e-05,1.8684677353309065e-05,6.133278149105367e-05,2.3879993904512477e-05,0.045207567743340976,5.260517889054482e-06,4.5952454345738166e-05,0.023046742346186387,0.028124759003548775,0.15679784101547223,0.4259825201129661,LCO,13,28
-105003.89064748578,3.864438976111521,11.239065807811349,12277.716900661668,-3.015368462930631,-1.7846315370693802,-0.20164139820689686,0.2798271105901415,1.3773245796173559e-05,0.00015481161945206528,8.069969138628077e-05,4.141020942510927e-05,2.67850699768608e-05,0.09359657824321069,3.640874499637086e-06,3.471883912886775e-05,0.02253977016531825,0.1151331706320319,0.04720394419209725,0.566021486968974,LCO,13,3
-34714.92798252311,2.334529529049752,0.00882263201676534,19355.372569173065,-0.5353607503605318,-4.26463924963948,-0.0941832538692452,0.2039400843652513,1.4797866307067864e-05,0.00010570954673842306,1.6945159139321388e-05,6.225603793756046e-05,2.667319444323491e-05,0.04037774084720677,1.7738750250242874e-05,3.803050125621484e-05,0.00806147393326556,0.13162131425712195,0.15627481410945065,0.5479206177641822,LCO,13,93
-154008.54655229903,2.2328918681539913,0.01725645506614288,89671.23744494167,-0.37535824327687095,-4.42464175672314,-0.29949642550686206,0.3396363894359666,2.085228597355212e-05,0.00014830406679229623,2.6822585823757964e-05,0.00014964331038920005,1.4880811617134912e-05,0.08252889692611949,1.4448115610739579e-06,4.202973350110983e-05,0.012631397276191801,0.014032778428281545,0.024408634185315525,0.592062161879541,LCO,13,75
-28366.011915148054,2.3793437359707115,0.01131042160983951,17161.46341474035,-0.30988956041990434,-4.490110439580107,-0.8403610074028414,0.20134010611095565,1.6533560832190454e-05,9.683665632852008e-05,2.5231811242604847e-05,4.7706042316615923e-05,2.9953845920568713e-05,0.04359931492434117,1.6384014020907338e-06,2.0802047325810597e-05,0.007683588989382022,0.01899708823996471,0.018423076216966913,0.05221882814022709,LCO,13,67
-297595.02734257584,2.6833195623448405,0.24168084294271192,29052.870839006464,-2.1622507382980487,-2.6377492617019627,-0.3665256729871984,0.20979052918887967,2.8101585665355162e-05,4.3490338626313735e-05,1.161046942742582e-05,5.3301504685210564e-05,1.605379635359594e-05,0.08231286890864306,5.620095721285621e-07,1.0093453093282877e-05,0.023831946779332733,0.054714938269497,0.1402675020863502,0.3684918866569545,LCO,13,8
-259625.36422039755,2.1704740598881047,0.02613994436681622,89388.32065786123,-0.793504785161673,-4.006495214838338,-0.4750193796166234,0.21507558634358254,1.4372646085321045e-05,6.981603279757655e-05,1.4733666185972727e-05,4.9659532565937815e-05,2.3874706361719427e-05,0.05932237828633531,4.446429650535135e-06,4.843144918965358e-05,0.024779414756373196,0.028397898273579615,0.15608764380465442,0.27049507830514263,LCO,13,28
-23964.16227282871,2.5406176746246922,0.027845815187337468,11489.295008611214,-0.4812208834500069,-4.3187791165500045,-0.23799424820832538,0.3677267830077949,1.969605110201414e-05,0.0002465329354326659,3.607659832118181e-05,7.418938014768471e-05,2.996939253419613e-05,0.05137943200784666,1.017642455336606e-05,4.941011046819762e-05,0.006679575149101907,0.11606845909192731,0.019912738775594546,0.5560245539241528,LCO,13,57
-130994.67540105755,2.491888018525922,0.06509622255399204,24505.636117033082,-1.0151116744454782,-3.784888325554533,-0.38777627325076014,0.20297802983175287,2.797686526473457e-05,0.00018754716512516147,3.622250652947936e-05,0.0001340092094557627,1.9664548231436163e-05,0.09167129225573097,1.920770806211341e-05,3.6200178424744745e-05,0.01174166608135686,0.03464434505060783,0.026958552260513052,0.480620829438119,LCO,13,21
-62976.79801290187,2.24401101051367,0.013280980229408565,51153.07322682096,-0.5907949139607496,-4.209205086039262,-0.31180303097952766,0.3220790703835355,2.8605727836015766e-05,4.267202337572767e-05,4.495970072672308e-05,5.222610208746557e-05,2.920812504962858e-05,0.042843739038374296,8.496367849300373e-06,1.3895186078999026e-05,0.01252767214385676,0.04196925436134971,0.02113597475417299,0.5550917399049496,LCO,13,99
-36315.1519206048,2.0901053650904413,0.01194524385481482,29318.07952136728,-4.3764387376768,-0.42356126232321145,-0.2564786860614817,0.29239209519247306,2.3204320366140246e-05,6.637007816637171e-05,1.3267599321582634e-05,0.00011054440706321684,1.3406833906322227e-05,0.04618396860316705,6.08637908615954e-06,4.944640623812692e-05,0.00935978530128199,0.2275509975825547,0.03893766553659646,0.4070326508193671,LCO,12,92
-24002.35702773989,2.6109925252403117,0.008551922843687079,17244.71689796284,-0.53664124217498,-4.263358757825031,-0.08090526819936583,0.20643217999925265,2.317476268835347e-05,0.00023643111859960488,2.6923155915465993e-05,4.683343587791997e-05,1.5065785263669914e-05,0.05130560290407195,1.0524544154492697e-05,3.7726902649965384e-05,0.00661561073129018,0.11682176541562017,0.1896028759234175,0.5426700904615965,LCO,13,93
-160361.84511128318,2.6434339711872963,0.04185464741392157,49623.91658851161,-0.7910692117799698,-4.008930788220042,-0.7101713527965914,0.2192977618058866,1.3147029493047086e-05,0.00024008044116382335,2.1176724256868768e-05,4.4815442320887325e-05,1.7185294311986216e-05,0.04866581350053721,1.6377742486166323e-05,9.732820716890944e-06,0.01848440196252739,0.06211638253323217,0.062495060821159715,0.09521720384901683,LCO,13,28
-89648.43064574047,2.5764503796806917,0.017365451839082936,62317.24827789494,-0.5722779976209864,-4.227722002379025,-0.17317947611384044,0.40743157165801464,2.2191773974889236e-05,0.0002467804299286413,3.5724660136980146e-05,7.413702095205541e-05,2.9910975630312185e-05,0.05112239813314398,1.0175405556940627e-05,3.255032945108435e-05,0.012464708153229448,0.1264649973084213,0.06955942966687871,0.5607960969108595,LCO,13,92
-10804.892571139382,2.3316742263888504,0.021887794735579367,7398.243217265031,-0.563871302315242,-4.236128697684769,-0.24866688973367612,0.5057131425989279,1.2765590567974e-05,0.00017850277064917255,1.1524439709549758e-05,0.00010776128465957621,1.5538181164803004e-05,0.0439163502805145,1.919446103114901e-05,4.125492308444238e-05,0.0045709431010530245,0.07802082063442378,0.010438439461409262,0.5928738501704909,LCO,13,89
