n_Gen,n_Eval,g_HV,n_valid,n_nds,v_HV,min_CV,mean_CV,max_CV,time
0,200,147260491348515.4,2,2,106546023696830.44,0.0,178.0381342916724,376.83601690839913,0.18320716699963668
1,400,170367074416927.97,3,3,107801917206514.05,0.0,179.4504448764554,378.6760251683882,9.441380166999807
2,600,137431204661493.38,6,6,108268167200312.31,0.0,149.06934237478382,394.5571458352542,4.408001541998601
3,800,144963771327141.6,10,9,108409825058010.92,0.0,133.96753652858158,381.4580810841092,19.941163375000542
4,1000,145475275207676.84,23,19,118565966643770.17,0.0,92.455445034111,384.64432043376047,5.270216000000801
5,1200,161463625085260.66,56,37,133415623993335.98,0.0,87.73980602238633,380.86639476904173,9.915669708998394
6,1400,137473302204676.94,81,58,135445897799662.31,0.0,62.564316915619116,382.39362301232,12.185561500000404
7,1600,151139215970002.3,126,74,150973010323532.5,0.0,31.189296383206855,375.0566612272145,2.181176250000135
8,1800,158216509926530.75,175,113,158003409655309.47,0.0,9.573788206874163,352.1140169491901,2.5904054999991786
9,2000,159076195354406.12,200,145,159076195354406.12,0.0,0.0,0.0,2.754404874998727
10,2200,159414556443951.97,200,161,159414556443951.97,0.0,0.0,0.0,5.581574665999142
11,2400,161059265226608.1,200,176,161059265226608.1,0.0,0.0,0.0,7.177992124999946
12,2600,163564943433475.8,200,167,163564943433475.8,0.0,0.0,0.0,8.627399458999207
13,2800,163416983419203.84,200,174,163416983419203.84,0.0,0.0,0.0,8.398544417001176
14,3000,163593661546271.88,200,167,163593661546271.88,0.0,0.0,0.0,9.173458958999618
15,3200,163416187725849.66,200,165,163416187725849.66,0.0,0.0,0.0,10.011153792000187
16,3400,169080719486774.3,200,188,169080719486774.3,0.0,0.0,0.0,9.482412999999724
17,3600,172794374288741.4,200,166,172794374288741.4,0.0,0.0,0.0,9.97967145900111
18,3800,173420639337164.8,200,167,173420639337164.8,0.0,0.0,0.0,9.087762417000704
19,4000,174282272518051.53,200,181,174282272518051.53,0.0,0.0,0.0,9.549296916000458
20,4200,191559560721318.0,200,182,191559560721318.0,0.0,0.0,0.0,9.902598374999798
21,4400,190226401308641.28,200,178,190226401308641.28,0.0,0.0,0.0,9.84532345900152
22,4600,186978646346510.0,200,185,186978646346510.0,0.0,0.0,0.0,9.741055874999802
23,4800,190297895924304.62,200,185,190297895924304.62,0.0,0.0,0.0,9.36805245799951
24,5000,180684308552492.06,200,188,180684308552492.06,0.0,0.0,0.0,9.160601499999757
25,5200,183113065304977.5,200,177,183113065304977.5,0.0,0.0,0.0,10.249571583000943
26,5400,183072122494379.28,200,181,183072122494379.28,0.0,0.0,0.0,9.92121058399971
27,5600,180312730898758.72,200,183,180312730898758.72,0.0,0.0,0.0,9.196007124999596
28,5800,178598642008743.0,200,184,178598642008743.0,0.0,0.0,0.0,9.102059124999869
29,6000,180022617569278.4,200,187,180022617569278.4,0.0,0.0,0.0,9.377004042000408
30,6200,180818920517054.78,200,184,180818920517054.78,0.0,0.0,0.0,8.221574999999575
31,6400,179872006909238.3,200,184,179872006909238.3,0.0,0.0,0.0,9.308578083000612
32,6600,176047646338490.8,200,177,176047646338490.8,0.0,0.0,0.0,8.94840375000058
33,6800,179789930526958.34,200,182,179789930526958.34,0.0,0.0,0.0,8.642811708999943
34,7000,180141746179591.78,200,179,180141746179591.78,0.0,0.0,0.0,8.162320125000406
35,7200,180732035545219.16,200,180,180732035545219.16,0.0,0.0,0.0,8.432156916998792
36,7400,180718322303984.66,200,176,180718322303984.66,0.0,0.0,0.0,8.04552537500058
37,7600,179463374517685.94,200,174,179463374517685.94,0.0,0.0,0.0,8.505940040999121
38,7800,181545745035368.62,200,181,181545745035368.62,0.0,0.0,0.0,7.821854208999866
39,8000,189252853576681.47,200,184,189252853576681.47,0.0,0.0,0.0,9.14659550000033
40,8200,188688680551386.6,200,183,188688680551386.6,0.0,0.0,0.0,9.409674124999583
41,8400,189969008300955.4,200,185,189969008300955.4,0.0,0.0,0.0,8.91470845799995
42,8600,191228422370130.2,200,182,191228422370130.2,0.0,0.0,0.0,9.667115666999962
43,8800,189741138550560.7,200,181,189741138550560.7,0.0,0.0,0.0,9.638041499998508
44,9000,191768673571374.06,200,183,191768673571374.06,0.0,0.0,0.0,8.46070624999993
45,9200,191944736379272.0,200,177,191944736379272.0,0.0,0.0,0.0,8.417734333997942
46,9400,191575116164968.2,200,180,191575116164968.2,0.0,0.0,0.0,8.961011667001003
47,9600,190890822940390.34,200,185,190890822940390.34,0.0,0.0,0.0,8.175804875001631
48,9800,191371411924446.6,200,182,191371411924446.6,0.0,0.0,0.0,8.555211333998159
49,10000,191094656659753.53,200,177,191094656659753.53,0.0,0.0,0.0,7.310714999999618
50,10200,200715981393880.16,200,183,200715981393880.16,0.0,0.0,0.0,9.931712375000643
