C,la,lp,lo,ln,lz,Lh,Rcell,Rp,Rn,efp,efo,efn,mat,Ns,Np,SpecificEnergy,SEIGrouth,TempIncrease,Price,UpperViolation,LowerViolation,VolFracViolation
1.990453230057654,2.8370717917496045e-05,4.5593221434943084e-05,1.77870340450043e-05,9.472788468279003e-05,2.2672058442198396e-05,0.08508749057678,0.006160298574979381,8.077246602862998e-06,9.955859085969245e-06,0.14310141785314037,0.2456582645769356,0.38944576308143786,LFP,13,69,-22322.674028523612,2.3269395768917204e-15,0.14963270460238212,16778.010680314866,-0.8922077201723724,-3.907792279827639,-0.15179455448848622
1.9970768624567508,2.3475095620172257e-05,0.00011542264987913895,8.14709826135261e-05,0.00013634651721934526,2.1689965397648712e-05,0.08115633395290875,0.01814133711876083,2.9185242157946215e-06,1.0249996926462584e-05,0.08077427645505506,0.5390729627811602,0.2978064207415169,LFP,12,87,-178541.56980716815,2.6536616404631993e-15,0.1674139543329026,170117.4395532837,-4.758742060701422,-0.04125793929858901,-0.012346340022267754
0.8609347628180497,2.3947500681124398e-05,0.00013863090549577937,7.520127379380509e-05,0.000190868627711414,1.8013681954825213e-05,0.09551641618990661,0.004431472110359045,1.1822225564415122e-05,1.4382031776736296e-05,0.17596088298683357,0.47718074976411556,0.09881208017234998,LFP,12,45,-9925.962423489204,2.4386026345686482e-15,0.13173229747094467,6736.8948267685955,-4.586417184663297,-0.2135828153367143,-0.1780462870767009
2.4941268900651714,1.4684537110270651e-05,0.00019329727512764245,2.025226662004229e-05,6.736763440946654e-05,1.88761830349471e-05,0.04577191907453592,0.01873422726902427,9.054582194668929e-06,2.2718797031903823e-05,0.03810965958098674,0.06378994133147814,0.011625825791028195,LFP,13,66,-230773.00118795785,2.994300173956043e-15,0.3237350322534315,114706.61189678195,-1.3259305284588123,-3.474069471541199,-0.816474573296507
1.0944163310093213,1.557584238858056e-05,4.856599683762516e-05,8.473729239562598e-05,4.0066923221264004e-05,2.7043099105072214e-05,0.09650658486609656,0.0099517138988875,6.997005935042861e-06,3.707520939080014e-05,0.10987802444578851,0.563580036597606,0.22380052754944849,LCO,12,99,-70578.20692186488,2.303530931617278e-15,0.05381674306206432,67112.76587150492,-4.314128298051557,-0.4858717019484544,-0.03274141140715703
2.62180190072648,2.316770334288581e-05,0.0001967749920964682,2.22347797442794e-05,0.00015139749919493262,1.639191430937918e-05,0.07643128931695412,0.01277190209076286,3.137331487114631e-06,1.1141681086701557e-05,0.10754008877513804,0.013927495382976718,0.07681290188903193,LCO,13,49,-99355.96361358673,2.93193192146465e-15,0.688043907815527,65155.842921556694,-1.721808627888656,-3.0781913721113554,-0.7317195139528534
0.4531001094746656,2.8029224711443208e-05,6.158361573403977e-05,7.57900225147806e-05,0.0001636012260470606,2.027692716132061e-05,0.08008551651161977,0.011297836554137783,5.963940206738197e-06,2.5269486549177783e-05,0.4364203504834249,0.03239259001684144,0.16130502100480443,LFP,13,44,-25003.992684037097,2.0965099403771223e-15,0.0492901857518596,39204.6518678642,-0.3524221646772787,-4.447577835322733,-0.29988203849492934
1.711147247947693,1.290246832957804e-05,0.00019678847828223748,1.2995357741578538e-05,0.0001749433875334049,2.3678401816168113e-05,0.08705790114087282,0.02460160304392663,6.021008705398636e-06,2.8216619609813115e-06,0.2601190065048341,0.43514306367322303,0.19646281565741824,LFP,13,4,-48847.67851759716,2.6945684478877963e-15,7.409814468730176,17280.999012601613,-4.346591869082218,-0.45340813091779353,-0.03827511416452467
1.8607737656857009,2.259615319644177e-05,0.00016675921740909173,1.2611983291782688e-05,7.75831564795183e-05,2.189872957056822e-05,0.07100567644547436,0.00441252537384559,1.8870565235783872e-06,5.878476746234655e-06,0.23730757572389397,0.22781546105090986,0.4007530244206141,LCO,13,3,-1588.01590719642,2.4662621286534247e-15,6.476572134211023,335.74575723645125,-4.27566983665691,-0.5243301633431017,-0.06412393880458211
2.759257360687483,2.526079924935462e-05,5.918581268650618e-05,1.3935661028600712e-05,0.0002096442299620393,2.3223882706390445e-05,0.06062352082775595,0.011359633289890725,1.1485250440689518e-06,1.792934282675626e-05,0.0787804073500217,0.3483155884012117,0.14454542848339352,LFP,12,75,-32359.65185184013,2.154538031684412e-15,0.2011294764618992,48072.623284171415,-4.385019904311889,-0.4149800956881222,-0.3583585757653732
