ANN,DTR,RFR,SVR
0.0010273282739670004,0.0006422237997574077,0.0003625676253374768,0.0010626600176648943
0.0016549402707368912,0.0005839620572562346,0.0003855176195490876,0.001158438451634519
0.0010820530100721577,0.0006032684994148719,0.00040481076452755874,0.0010782337251785236
0.0015844200212924854,0.0007439241498689151,0.00044636833473370554,0.001158096680630203
0.004256618825081334,0.0007514618216294673,0.0004312183239734042,0.0010688540494329956
0.0009745094253506128,0.0005969910538010936,0.00037807476045342224,0.0010165304307767663
0.0007384434167176881,0.00041111088499497337,0.000222343213734567,0.0007778996551863409
0.0017784391523253582,0.0005514802466529258,0.00028669919584246265,0.0009527980972118636
0.0020983505419711274,0.0007319659842749032,0.00039514223114023636,0.001106561037756431
0.0026343315142447993,0.0006999547792852341,0.0003979007282661911,0.0011234454258807725
