ANN,DTR,RFR,SVR
4233300105.1007915,2469756146.201645,1562833302.037995,14192637610.451956
3885978809.5615826,3038754737.9702063,1636197973.2558749,14457613764.042778
3425760735.6875563,3120759010.5983305,1657076480.4071867,12183220682.788677
4105633633.949387,2890323336.5866265,1704351451.9641447,12985048845.123306
3721505614.2906785,2647768333.1553707,1473804941.0142558,13187439491.746315
3965773636.799553,3101054603.9286575,2121005363.5585768,14010924045.509413
3635983677.7031827,2880245559.5613494,1554656143.1704257,13216196050.666525
4224862565.233144,2804683026.6875806,1603896858.4153862,15087241022.381783
3884643156.9531765,2811002690.445084,1354036138.2586648,14370108679.331482
4400637770.512633,2970518528.1070585,1637258207.9895444,15362061351.15263
