ANN,DTR,RFR,SVR
0.5311080683592577,0.5116552837606396,0.2854236966238165,0.5855897632958968
0.6197033005879252,0.19319785140745518,0.3619332338694257,0.5932360054902964
0.4511922830807179,0.34144165131619575,0.18415859150089034,0.5876424068575901
0.5242003799278634,0.7968933512527054,0.27748893286212317,1.150606937469139
0.3510648813218469,0.6251512377382892,0.30345323266418417,0.21272844777479502
0.4469010193086616,0.3370696841694598,0.1521352696233431,0.9688093210219539
0.010820273356987879,0.001907612751549164,0.004478109332995834,0.00959624050521097
0.31307806799763854,0.331809893963265,0.29281219510666245,0.7775052484982988
0.3028413005112646,0.2964113933210865,0.13564859110111768,0.5858143986879588
0.6348282716268954,0.6643341658669516,0.3397471338513159,0.599522947608501
