ANN,DTR,RFR,SVR
0.09590183274262463,0.06316695361601371,0.049223035417688576,0.1301251152907086
0.08540781327324658,0.06727151557853442,0.04542480382095049,0.12241498272137863
0.07971891299607209,0.05028769186300723,0.03780521851164089,0.10104642375077319
0.09198515025724345,0.07037802091490618,0.03747885411302289,0.11115898871581138
0.09241919707866667,0.06068840294542923,0.04549503217403519,0.12779768063989586
0.09801368461351653,0.07045899691704126,0.047884846821137195,0.1219470331748704
0.09327238336805102,0.07708319455272149,0.041609466662531396,0.12016833999783064
0.08681084545149816,0.07101995859999204,0.046273904066425085,0.1377765552278507
0.09785034880980092,0.0680031898879449,0.048531780291239994,0.12074192710694225
0.07869179137877366,0.06707021484902927,0.03682865702641051,0.12109166682957354
