ANN,DTR,RFR,SVR
10.357098728928749,9.845385255593191,6.358963073458488,16.3678193317842
9.779900924699376,9.019397661604055,6.287841398561,16.73737322280359
8.937036483000938,9.120555076232609,5.916892676931579,17.015745377966287
10.503135223450927,8.32771595264549,5.907877611659758,16.46451199970368
11.64914633651766,9.180198423405843,6.856601465975395,16.54070279517609
9.334402757199694,7.803302856463263,5.823537806051679,16.077121373500287
9.688115653751696,8.196277191993872,6.072069137635982,16.784836228463952
9.353428027581277,8.006613130277309,5.68101590376256,16.521832751103627
9.65069668772732,9.033405851391871,6.2910107296611315,17.477597858625774
8.698551607127177,9.163109714376226,5.94215794606798,16.608550573750946
