SpecificEnergy,SEIGrouth,TempIncrease,Price,UpperViolation,LowerViolation,VolFracViolation,TotalTime,CompilationTime,SolvingTime,Failure,TimeSteps,LastVoltage,C,la,lp,lo,ln,lz,Lh,Rp,Rn,Rcell,efp,efo,efn,mat,Ns,Np
232117.59110871618,2.4507581146802084e-15,0.10052487764717766,343858.7234979979,144.6835305859049,-146.1835305859049,0.1924410500000001,49.32729091600049,0.04003133298829198,49.2872595830122,,291230,2.698197079704893,3.2616790000000004,2.661465e-05,0.00019323595,6.188095000000001e-05,0.00010628325000000002,1.556283e-05,0.0850909,1.8769529000000003e-05,3.96116825e-05,0.017412595000000003,0.23308785,0.47577255,0.41358065000000005,LFP,42,57
19674.06608253522,2.6638648834552295e-15,0.06909167321057531,29835.55100829706,231.7280142636452,-233.2280142636452,0.23836665,45.304809125023894,0.01992062502540648,45.28488849999849,,244260,2.6973808865789453,2.402005,1.5882690000000002e-05,0.00015357535000000002,1.4450050000000002e-05,0.00012616685,1.663347e-05,0.0592501,1.2188405e-05,4.959702500000001e-06,0.0056095450000000005,0.24527725,0.57059145,0.35249795,LFP,65,45
186683.43093952755,2.3635733248259265e-15,0.06440828274454796,671553.3924648577,179.90580449572502,-181.40580449572502,-0.31131275,66.7665254160529,0.026499583036638796,66.74002583301626,,427040,2.698745185029403,2.7308570000000003,1.4852370000000002e-05,0.00022435585000000002,6.299155000000002e-05,0.00012666625,2.3055329999999998e-05,0.09685570000000002,2.4248270000000006e-06,4.350683750000001e-05,0.017037955,0.30104995,0.23738305,0.08025425,LFP,51,66
67398.10684561415,3.407423753305885e-15,1.7823552630597679,5648.402360296062,120.68068853464857,-122.18068853464857,0.11461414999999986,12.895995834027417,0.030005584005266428,12.86599025002215,,32950,2.6922184474780697,0.6286210000000001,1.323039e-05,0.00023881855000000001,5.7571750000000007e-05,8.523695000000001e-05,1.3951470000000001e-05,0.09150670000000001,3.971801000000001e-06,1.82796575e-05,0.011820505,0.29347435,0.49781495,0.25332485,LFP,37,2
152261.83924892373,2.4538228324008654e-15,0.026588635525457278,980691.3210037631,354.10106731621437,-355.60106731621437,0.1758502500000002,97.04238729202189,0.013870624941773713,97.02851666708011,,558110,2.698187721902663,1.998179,2.9443890000000004e-05,0.00022132345,3.7533250000000005e-05,6.608375000000001e-05,2.4349170000000002e-05,0.09270790000000001,1.8835067000000002e-05,6.941187500000001e-06,0.014977225000000004,0.45706955000000005,0.5948109500000001,0.053969750000000004,LFP,97,89
192388.27382885324,2.9759290712878087e-15,0.27880095423345475,58459.95800695953,43.38865743247385,-44.88865743247385,-0.55698285,22.930254166014493,0.058009791071526706,22.872244374942966,,89020,2.694804424594316,2.249283,1.913007e-05,0.00010270075000000001,9.709615e-05,6.360215e-05,1.224345e-05,0.0536005,6.644207e-06,1.1494197500000002e-05,0.021097885000000004,0.13340735,0.16016385000000002,0.07944594999999999,LCO,16,20
201318.76970361584,2.191877508446431e-15,0.012442744417497764,56919.8696234091,-4.169191739228372,2.6691917392283724,-0.0716842499999999,107.07821041706484,0.03668887505773455,107.0415215420071,,856600,2.6993765068004354,1.0742850000000002,1.973559e-05,0.00013733605000000002,5.0774950000000004e-05,0.00014872345,1.614135e-05,0.0527185,1.550657e-06,2.62818275e-05,0.024988345000000006,0.34647995000000004,0.40883115000000003,0.10300465,LFP,3,91
214810.91495817326,2.13567657568497e-15,0.1445237556344133,682815.896613869,237.57703044045638,-239.07703044045638,0.07336724999999988,15.221933208988048,0.03625841694884002,15.185674792039208,,47390,2.687405115693289,3.348281,1.236441e-05,7.615045000000001e-05,4.755385e-05,0.00011271385000000001,1.2124290000000001e-05,0.09750130000000001,1.1950211e-05,4.21594475e-05,0.020952775000000003,0.53549235,0.43207715,0.035797749999999996,LFP,67,40
14442.860259937735,2.157764664762207e-15,0.0729721225967229,8195.442701525786,170.24641725319313,-171.74641725319313,0.30042285,17.981223459006287,0.01862025004811585,17.96260320895817,,72610,2.6994186852720166,1.027735,2.943813e-05,7.089415e-05,2.7982450000000002e-05,6.372315000000001e-05,1.648677e-05,0.06246790000000001,4.287611e-06,4.0764537500000005e-05,0.005563135,0.48084065000000004,0.19436615000000002,0.5552160500000001,LFP,49,18
156006.00698240838,2.571689819450115e-15,0.05094831939115902,439813.6457946967,317.57111105237874,-319.07111105237874,0.05550204999999997,63.54463725001551,0.034980707918293774,63.50965654209722,,408320,2.6988471794264663,2.7612950000000005,1.9538310000000003e-05,0.00017199445000000004,3.4386850000000004e-05,6.046165000000001e-05,1.7545890000000004e-05,0.0522685,8.602823e-06,3.17179175e-05,0.014973235,0.19121555,0.52871325,0.26557325000000004,LCO,87,72
172275.7185704605,2.1798963968981118e-15,0.027968811111034473,454347.35981941526,180.78314719227257,-182.28314719227257,-0.03051405000000007,57.533199916011654,0.0588695410406217,57.47433037497103,,350480,2.698446444510217,1.162939,2.6229990000000004e-05,0.00010173265,8.128855000000001e-05,9.938075e-05,2.3442870000000003e-05,0.050528500000000004,4.915073e-06,4.24584275e-05,0.024272035,0.28876615,0.27724345,0.33347635,LFP,51,50
21792.48329358354,2.2848316491081803e-15,0.04902765017112964,12607.612173381636,76.51953384422563,-78.01953384422563,0.18943794999999997,61.506150666973554,0.02637487498577684,61.47977579198778,,389810,2.6995587513347026,1.4863190000000002,1.928883e-05,0.00015696265000000002,5.5419850000000004e-05,0.00010436595,1.7803290000000002e-05,0.0708325,3.995363e-06,4.73945675e-05,0.005680315,0.20095055000000003,0.38547895000000004,0.53300845,LFP,24,41
8313.84931444959,2.3859053346244894e-15,0.10165647602657413,25374.87196158852,297.26389775302124,-298.76389775302124,0.28562564999999995,34.799216874991544,0.03214508306700736,34.767071791924536,,166370,2.69713201223929,3.7158930000000003,2.9338230000000002e-05,0.00018652645000000003,3.119635e-05,7.274425e-05,1.537545e-05,0.058514500000000004,4.387403e-06,4.6947582500000006e-05,0.004157395,0.50145525,0.49143705,0.22273335000000002,LFP,82,59
246336.92817499838,2.1763178445453824e-15,0.02068434162495832,572597.1675775715,219.46584654061897,-220.96584654061897,-0.21157915000000005,60.20244758296758,0.029601415968500078,60.17284616699908,,450900,2.6992223499284935,0.847691,2.415369e-05,7.883425000000002e-05,6.926455000000002e-05,9.232425000000001e-05,1.660431e-05,0.08447770000000002,1.4441447e-05,4.10174825e-05,0.019296085000000004,0.06284925000000001,0.17964565,0.47592595000000004,LCO,61,46
38827.94360798432,2.512718259399333e-15,0.03763913845006561,195152.13487714942,337.009400569134,-338.509400569134,-0.12428275,48.86948166694492,0.03183549991808832,48.83764616702683,,292360,2.698886095166515,2.5085189999999997,2.8183530000000004e-05,9.554395000000002e-05,7.274845e-05,4.035915e-05,2.6308830000000003e-05,0.0558967,4.1991050000000005e-06,2.96790125e-05,0.008732455,0.17883735,0.19277314999999998,0.43410675000000004,LCO,92,83
140921.50699511572,2.556665822348375e-15,0.019125404485716813,615262.4454377297,233.79957628923617,-235.29957628923617,-0.24469584999999994,95.84176974999718,0.01600966602563858,95.82576008397155,,749460,2.6992852023253144,1.103089,2.0193510000000003e-05,0.00016037095000000004,5.981455000000001e-05,0.00011610184999999998,1.239627e-05,0.056577100000000005,1.8045839000000003e-05,1.0798722500000002e-05,0.019022035,0.30536285,0.31634865000000006,0.06359265,LCO,65,66
28368.109953742696,2.1202431731001915e-15,0.04304228153706948,257063.19487930497,292.1591714671714,-293.6591714671714,-0.18627995000000008,37.69005554099567,0.03133012494072318,37.65872541605495,,218160,2.696497063592667,2.673401,1.4842290000000001e-05,0.00013379545000000002,2.3113450000000005e-05,0.00012824475,2.2391310000000004e-05,0.09472930000000002,1.9772003e-05,4.840436750000001e-05,0.007970155000000001,0.50064695,0.01523035,0.22784275,LCO,80,78
179849.78573848607,2.634818893719707e-15,0.036331008197500944,304597.990176684,175.83638829877125,-177.33638829877125,0.36544674999999993,92.92609383398667,0.01881441695149988,92.90727941703517,,727840,2.69978872661452,1.6516950000000001,2.121105e-05,0.00022238815000000004,4.1676850000000004e-05,0.00014225105000000002,2.2946070000000002e-05,0.0661999,2.719253e-06,1.2620817500000002e-05,0.017419105000000004,0.18652505,0.58429125,0.52463045,LFP,50,59
135594.7411506814,2.754777703252978e-15,0.19786076664827185,149664.09840308395,323.0760968750629,-324.5760968750629,0.05411555000000001,22.297874459065497,0.023705625091679394,22.274168833973818,,98700,2.695129967436158,1.264095,1.5710070000000002e-05,0.00012613255000000002,5.3618050000000004e-05,0.00011298444999999999,2.0500770000000003e-05,0.0504667,1.3126925000000001e-05,7.212942500000001e-06,0.020365405000000003,0.32021315,0.35331215,0.31059025000000007,LCO,90,13
88343.53755898635,2.7149894477914826e-15,0.06366943163018482,61588.769678736804,41.368981768648005,-42.868981768648005,0.03548925000000003,14.16235100000631,0.039085709024220705,14.12326529098209,,40000,2.6925533527267005,1.828509,1.2503010000000001e-05,0.00010127695000000002,7.463935000000001e-05,5.1510950000000005e-05,2.5592790000000003e-05,0.0728593,1.9546877e-05,2.4069875000000004e-06,0.019795045,0.22688695000000003,0.21296885000000004,0.5256334500000001,LCO,15,24
449808.8253421563,2.1300050035134005e-15,0.01975279885471836,728313.6406388683,119.27911264891009,-120.77911264891009,0.22675544999999986,47.8673683750676,0.036031208001077175,47.83133716706652,,299150,2.6974095355549257,1.417729,1.2242370000000001e-05,6.199225e-05,3.467035e-05,7.931015e-05,2.3972430000000003e-05,0.0950899,1.7603507e-05,3.92983475e-05,0.022989775000000004,0.20831375,0.53620625,0.41223545000000006,LCO,35,77
179073.52809545747,2.7017941276205665e-15,0.05739049918174171,125634.13463923853,49.137647934087695,-50.637647934087695,-0.6939336500000001,74.69933716603555,0.028275958029553294,74.671061208006,,482110,2.6990660281523824,1.2295530000000001,1.217361e-05,0.00017720035,9.339985000000001e-05,0.00013428375,2.346897e-05,0.0479761,1.9805267000000005e-05,1.1184327500000001e-05,0.023879755000000003,0.09868584999999999,0.12026805000000002,0.01711245,LFP,17,33
132622.7302280796,2.3543987320703863e-15,0.06727264867490935,514698.4947045247,340.1497872921697,-341.6497872921697,-0.17515845000000008,39.02520808391273,0.03257304197177291,38.99263504194096,,220380,2.696751603635114,3.1663750000000004,1.922925e-05,0.00010370245,6.514255e-05,6.614645e-05,2.009811e-05,0.0616087,7.793399e-06,4.3005402500000004e-05,0.014412115000000001,0.10773644999999998,0.42676125,0.22034385,LCO,93,67
7918.236493509718,2.087635962454635e-15,0.030288515253580443,54823.80291545565,226.96962683981747,-228.46962683981747,-0.018743550000000053,34.88237012503669,0.029926458024419844,34.85244366701227,,104580,2.6997202433136023,1.9580510000000002,1.6208490000000002e-05,4.000315e-05,4.4174350000000005e-05,0.00011804665000000002,2.022573e-05,0.0451477,8.510357000000001e-06,1.98453425e-05,0.006665215,0.37687085,0.46851555000000006,0.06587005,LFP,63,73
170034.17623668275,2.6125032957919126e-15,0.9572925959643088,121987.78814590463,326.5915518989658,-328.0915518989658,-0.15629615000000008,14.717876042006537,0.04136920801829547,14.676506833988242,,33480,2.6979048987924354,1.3824649999999998,2.8713810000000004e-05,0.00015885265000000002,3.412675000000001e-05,0.00010418664999999999,1.9345530000000002e-05,0.0714343,1.3353437e-05,2.6066007500000005e-05,0.022101895000000003,0.56656765,0.14459375000000002,0.06254245,LFP,92,6
105775.09526423068,2.1816115439404522e-15,0.06384068016336955,369544.14947441255,167.90089083656954,-169.40089083656954,0.09146844999999992,25.1948418749962,0.024772708071395755,25.170069166924804,,128880,2.6948217001955395,3.2597790000000004,1.3945170000000001e-05,7.698835000000001e-05,6.673645000000001e-05,8.196335000000001e-05,2.6128470000000004e-05,0.09777190000000001,1.3899719e-05,4.441021250000001e-05,0.013697065000000001,0.32350535,0.12938945,0.56857365,LCO,48,72
