SpecificEnergy,SEIGrouth,TempIncrease,Price,UpperViolation,LowerViolation,VolFracViolation,TotalTime,CompilationTime,SolvingTime,Failure,TimeSteps,LastVoltage,C,la,lp,lo,ln,lz,Lh,Rp,Rn,Rcell,efp,efo,efn,mat,Ns,Np
318427.27538650675,2.368309202360284e-15,0.181358878579944,1583097.2619613854,166.69598888675668,-171.4959888867567,-0.18774401041666666,29.993480707984418,0.02265879197511822,29.9708219160093,,165660,2.6990061596713244,2.326515625,2.834203125e-05,0.00016746015625,4.870703125e-05,0.00014871380208333334,1.525359375e-05,0.08403906250000001,8.285468750000002e-07,3.79975390625e-05,0.023109453125000002,0.21033880208333336,0.27075234375,0.26116484375000004,LFP,57,94
76184.80829231991,2.2665395018502378e-15,0.021486611760330936,134912.7159959043,30.496982511653172,-35.296982511653184,-0.01833411458333334,92.1827098329959,0.01518741698237136,92.16752241601353,,831490,2.6996021310631284,0.4377968750000001,2.6590781250000003e-05,0.00017670234375,7.047578125000001e-05,0.00012512682291666668,2.148984375e-05,0.06769531250000001,1.7246046875000003e-05,3.7548945312500004e-05,0.013151953125000001,0.24337265625000004,0.3394627604166667,0.32883046875,LCO,21,88
631.1812545714355,2.0049240178161884e-15,1.347388933751543,12083.880922910179,101.89085631254537,-106.69085631254538,-0.3967638020833334,7.051271374977659,0.018526208004914224,7.032745166972745,Nan,200,3.173688545343854,2.744911458333333,1.285453125e-05,0.00023112734375,7.776484375e-05,7.799869791666667e-05,2.9874843750000002e-05,0.0947359375,1.4694734375000002e-05,3.138464843750001e-05,0.008050703125,0.28663932291666666,0.19349921875,0.05309765625000001,LCO,44,6
92039.77594023841,2.3603271379041835e-15,0.3676251759028478,919119.9408149209,255.77193170158594,-260.571931701586,0.3823434895833332,10.11505454100552,0.01712462501018308,10.097929915995337,,19490,1.6696320216403426,2.888796875,2.9997656250000005e-05,5.250703125e-05,9.041171875000001e-05,8.173984375000001e-05,1.2965156250000001e-05,0.053045312500000004,1.7438890625000004e-05,1.40364453125e-05,0.023504296875000004,0.5265111979166667,0.3671497395833333,0.4186825520833334,LFP,81,80
61099.336220400386,2.859317243639978e-15,2.673456493131563,35045.490201117405,106.87982531470075,-111.67982531470076,-0.24775807291666674,8.480554000008851,0.01512029199511744,8.465433708013734,Nan,8220,2.768182076529633,0.6555052083333333,2.277234375e-05,9.258203125e-05,5.453828125e-05,7.582734375e-05,2.7133593750000002e-05,0.0572203125,1.6370515625000004e-05,8.320742187500002e-06,0.019091015625000006,0.5470690104166667,0.06443671875,0.07073619791666666,LFP,44,6
15071.850802076357,2.0609159875641473e-15,-0.059444849428485366,275031.12786803156,80.77859062563869,-85.5785906256387,0.1127257812500001,7.1867638749827165,0.014038208988495171,7.172725665994221,,3940,2.168790866353598,1.5987760416666668,1.966640625e-05,6.311640625e-05,3.839921875e-05,7.810755208333334e-05,2.574515625e-05,0.08697968750000001,4.253328125e-06,1.69548828125e-05,0.017271015625000004,0.08336588541666666,0.5099174479166667,0.4494424479166667,LFP,32,61
449885.6752473582,2.5656343925947775e-15,0.015971155515913705,543942.9115293407,57.18927691681307,-61.98927691681308,-0.40678151041666666,157.96217620800599,0.015325582993682474,157.9468506250123,,1460000,2.69968809795532,0.399203125,2.5603593750000005e-05,0.00019717734375000002,1.640546875e-05,5.179348958333334e-05,2.897015625e-05,0.0642796875,1.4991734375e-05,4.05627734375e-05,0.021264296875,0.02562578125,0.4436653645833334,0.05392734375,LCO,28,98
56374.799316120516,2.1559350753130036e-15,0.03975135184391754,606159.7603910667,303.76632462600514,-308.5663246260051,-0.12149192708333334,35.65071612500469,0.02954770901123993,35.62116841599345,,241230,2.6978406223928384,0.608203125,2.131734375e-05,9.544765625e-05,8.763671875000001e-05,0.00014668567708333333,2.554453125e-05,0.051026562500000004,1.3503593750000001e-06,3.30913671875e-05,0.016665078125000003,0.31103828125,0.4510096354166667,0.04646015625,LCO,92,72
43431.165945759916,2.4040607181522792e-15,0.24777389704204167,595361.0400603185,287.4811685538508,-292.28116855385076,0.2073716145833332,9.04084974998841,0.012204957980429754,9.02864479200798,,15800,2.6375558478035495,3.0380260416666665,1.7360156250000002e-05,0.00017962265625,2.1528906250000002e-05,7.657213541666666e-05,2.9456718750000002e-05,0.06468593750000001,1.2136203125000002e-05,3.61129296875e-05,0.017922890625000003,0.4870856770833333,0.06354557291666667,0.5867403645833333,LFP,85,62
28967.71010893314,2.726069857056194e-15,0.2310985500148019,42885.65948507528,107.04103913639727,-111.84103913639728,0.3755830729166666,21.961164416978136,0.011522208980750293,21.949642207997385,,111830,2.697112064969717,3.1177864583333332,2.6734218750000002e-05,0.00017090546875,1.0592968750000001e-05,4.0919531250000004e-05,2.1759843750000003e-05,0.0645578125,9.628203125e-06,4.595621093750001e-05,0.005768046875,0.30516901041666666,0.5101018229166666,0.49031223958333336,LCO,42,95
24485.272691950373,2.454794449149915e-15,0.3597534593930154,116770.50698564955,255.99851156508558,-260.7985115650856,0.5473591145833333,17.45111395799904,0.010838041984243318,17.440275916014798,,74840,2.6996588993301813,1.680515625,2.051296875e-05,0.00020731640625000004,4.278671875e-05,0.00012060651041666669,2.7777656250000002e-05,0.0699359375,7.490421875e-06,4.821464843750001e-05,0.009400390625000001,0.5827148437499999,0.40623723958333335,0.48840703125,LCO,81,47
35944.20355939557,2.0116760091362106e-15,-0.06211131090885796,762341.6693481243,79.17482558114614,-83.97482558114615,0.10685651041666688,6.901145208015805,0.011475875013275072,6.88966933300253,,3090,2.69665943292047,1.6539947916666669,1.893234375e-05,4.289296875e-05,2.6253906250000005e-05,5.784921875e-05,2.195859375e-05,0.09882968750000001,5.953859375e-06,2.6161367187500002e-05,0.024104765625000003,0.03493671875,0.5354226562500001,0.4664971354166667,LFP,32,79
105347.42726658989,2.6401828201034462e-15,0.04911451931436914,146444.26638987428,41.20413955244831,-46.00413955244832,0.0989283854166666,28.712298458005534,0.014870707993395627,28.69742775001214,,178270,2.6972473637846757,1.0329322916666668,1.696265625e-05,0.00011108828125,1.670546875e-05,5.9751302083333335e-05,2.6466093750000002e-05,0.0529453125,1.1583453125000001e-05,9.158632812500002e-06,0.014771796875000002,0.41659296875,0.46766484375,0.14467057291666668,LCO,24,92
