n_Gen,n_Eval,general_HV,n_valid,valid_HV,min_CV,mean_CV,max_CV,time
1,400,0.09537054654610558,0,0.0,0.09549723447327507,1328.577090703639,130661.25669609554,25456.243355083003
2,600,0.09198404482995615,1,0.0,0.0,3121.9526755499146,138760.4564465236,22323.707109666997
3,800,0.11970688523645534,1,0.0,0.0,2496.292029422478,249506.37929660766,12838.787231709008
4,1000,0.10571842271962426,1,0.0,0.0,2204.1756725773266,387280.79765915504,10677.975309791
5,1200,0.20242101926502673,1,0.0,0.0,291.9626378493541,12280.027473954784,15284.946931583007
6,1400,0.20728267253990668,0,0.0,2.867421182406115,1499.4742049442884,240971.51877747383,12712.242036750002
7,1600,0.20175725751296691,1,0.03268874073558005,0.0,1489.0656331484352,240971.51877747383,18329.574515083994
8,1800,0.20665593714172278,0,0.0,1.2542243537202906,1416.4721442512416,240971.51877747383,20092.090337167
9,2000,0.1577995055582197,3,0.03156238444079359,0.0,267.7845112441239,7384.889680160781,19184.554773499985
10,2200,0.15923662933136054,3,0.005217551345029405,0.0,1386.6484294672896,235983.4157384266,18145.532743208983
11,2400,0.13699503388078385,1,0.0,0.0,2546.826381478878,372281.1039159458,22459.57117512502
12,2600,0.15710129996281982,4,0.05920445292030028,0.0,345.47297563876333,33326.70467228587,23128.462281249987
13,2800,0.16229434839824824,1,0.0,0.0,370.746376797688,33326.70467228587,28083.40897012499
14,3000,0.10267556538988229,0,0.0,4.178662345214818,187.59933889709623,551.0088020294372,17210.587599750026
15,3200,0.16747502421592408,2,0.0,0.0,269.85915366211617,16408.370808131007,10918.829009832989
16,3400,0.19063024376677645,0,0.0,0.7445512814552556,4313.529310991691,523455.9481948927,16945.16131670802
17,3600,0.2906521125356306,0,0.0,0.202571155330865,4421.1238642377975,832814.1915453402,15495.321581583004
18,3800,0.7277033550170607,1,0.0,0.0,14287.540145062465,1864439.8640621759,18148.77667337499
19,4000,0.7203219971695464,1,0.0,0.0,14294.964639203354,1864439.8640621759,19091.539075042005
20,4200,0.7236852064194778,0,0.0,0.14143596929250102,13557.564643529658,1864439.8640621759,13143.851888166042
21,4400,0.7437528869262577,0,0.0,0.02008332270597757,10133.474770439765,1864439.8640621759,12264.837461958989
22,4600,0.8270326853401933,2,0.0,0.0,18479.23283338893,1864439.8640621759,14612.898126292042
23,4800,1.904323669726418,0,0.0,0.008830353097181387,15112.431919614815,1077543.7801052767,11041.692582582997
24,5000,1.7950181442620436,1,0.0,0.0,12693.171858898042,1429964.742340894,10815.531193707953
25,5200,1.7917570800798055,1,0.0,0.0,15980.33543085583,1077543.7801052767,14644.342241667036
26,5400,1.8142127689161882,0,0.0,1.5114144771748887,8746.12109907212,1077543.7801052767,9462.918312499998
