n_Gen,n_Eval,general_HV,n_valid,valid_HV,min_CV,mean_CV,max_CV,time
1,400,0.07628430091329756,2,0.012915389070260644,0.0,127.63634887275899,329.4587211830262,24271.970011709
2,600,0.08672702612696784,1,0.0,0.0,157.06673050264737,2392.5714736856107,19263.981354707998
3,800,0.0706191343578991,5,0.024037436953120446,0.0,153.95544737374664,2508.7584992764955,18133.188947208007
4,1000,0.054550158479342775,3,0.041564042881698994,0.0,153.62214907091874,336.5619644160797,14551.709716958008
5,1200,0.10044897657627053,1,0.0,0.0,171.57316713885047,514.2849318168111,13254.252239249996
6,1400,0.08952935711959355,0,0.0,0.4248462683483335,171.44928358722794,337.6950779641345,9320.834192291004
7,1600,0.1182303671690541,1,0.0,0.0,185.01077902972503,1833.3061882613833,11366.508452915994
8,1800,0.1382501542591369,2,0.005729913571653118,0.0,720.5921635096519,106922.5034337006,11965.311931334
9,2000,0.5993063960773797,4,0.005729913571653118,0.0,8076.935503021884,1471858.7293370583,12043.823857207986
10,2200,0.170965044253028,1,0.0,0.0,4113.756866598226,494071.7806335066,16555.240124208998
11,2400,0.10356134001494245,0,0.0,0.12898612063854487,1084.1970618575856,97612.19083451638,15069.202731208003
12,2600,0.09802168407902004,0,0.0,0.1934571403142954,1227.6225184055882,201766.53770718016,14568.726874125015
13,2800,0.10125795641976093,2,0.0,0.0,209.17589085018864,353.23609077884896,12839.867313458992
14,3000,0.11056402933292019,3,0.0,0.0,4013.389443614279,741019.8186419365,10374.451800375013
15,3200,0.1413637866191315,2,0.0,0.0,6769.993579737593,802231.6262878041,7196.255733041005
16,3400,0.10312866236928445,0,0.0,3.884811695098826,2567.2844061046317,394398.0678544822,7657.2931047089805
17,3600,0.11504886904802022,1,0.0,0.0,813.2751951360677,119311.61051716945,12578.787247874978
18,3800,0.1258649946445001,0,0.0,0.2732340418718522,225.26155195933205,1459.765077755935,16224.63084537501
19,4000,0.12844896563769617,2,0.006012682614050161,0.0,220.6542795330046,1851.4982314587396,13536.451696667005
20,4200,0.12251691490941846,2,0.0,0.0,2526.175825839887,446512.05204429553,14965.94761462498
21,4400,0.11980909081895234,1,0.0,0.0,231.02778514187295,4409.421984437777,13282.037998417043
22,4600,0.12137628848563199,3,0.0,0.0,672.5838238735264,91847.49777378766,11143.37277466699
23,4800,0.1179281158831462,2,0.0,0.0,650.8843101134194,91847.49777378766,14662.089434916037
24,5000,0.10817477338047073,3,0.0,0.0,188.97628132941355,4490.360735019595,14967.648926292022
25,5200,0.11476416698371208,4,0.0,0.0,347.79383818288835,40439.9326059685,22040.926259625005
26,5400,0.12091959198783947,4,0.0,0.0,130.38845554381172,754.3908745200998,17221.907714666973
27,5600,0.1349271179806999,6,0.021235459933856105,0.0,136.66095520220725,754.3908745200998,12933.04885595903
28,5800,0.13324297426382065,4,0.0,0.0,135.6052444549799,1836.2240789968498,19842.442820707976
29,6000,14.44072786989087,4,0.0,0.0,10976.662525634254,2167334.668830864,41780.78639916697
