n_Gen,n_Eval,g_HV,g_R2,g_IGD+,g_e+,g_Dp,n_valid,v_HV,v_R2,v_IGD+,v_e+,v_Dp,min_CV,mean_CV,max_CV,time
1,400,0.0,16664121.841773551,8.593938433550173e-15,8.575719786827604e-15,99998.67700679801,4,0.0,9.861482087824641e-12,3.252408931322411e-14,3.251939366435504e-14,1.3331917071032078,0.0,21.20108220398476,45.179782734928025,19.105549679000433
2,600,0.0,16664121.841773551,5.468731207630985e-16,5.380846813023306e-16,100000.00000125002,5,0.0,1.0513147447886714e-09,2.6352779871950425e-13,2.6351751535076974e-13,5.5104893125935647e-11,0.0,20.002129456699155,45.179782734928025,23.25623736399939
3,800,0.0,16664121.841773551,3.521820507012369e-14,3.51601227264863e-14,100000.00000125005,9,0.0,16664121.841773551,3.544669388375445e-14,3.54467056987155e-14,444444.44445000007,0.0,17.65936616040878,45.179782734928025,27.808473451000282
4,1000,0.0,16664121.841773551,3.5457862762438723e-14,3.5448974225032025e-14,99998.67700679807,10,0.0,3.6283464356648197e-09,7.761844183477703e-13,7.754662014791628e-13,1.333191707103743,0.0,17.925551903931897,45.242798868704995,32.04747019600018
5,1200,0.0,16664121.841773551,4.9918067872947714e-14,5.4317243797372235e-14,100000.00000125002,14,0.0,3.6283464356648197e-09,5.121147490789997e-14,5.4491215942641525e-14,2.799535340062979e-11,0.0,20.564331169159374,44.97690972875916,29.467977086000246
6,1400,0.0,16664121.841773551,5.449148958001095e-14,5.449150774291294e-14,100000.00000125021,15,0.0,4.011396545204947e-09,5.449148958001095e-14,5.449150774291294e-14,2.801084114578475e-10,0.0,19.523667555242834,44.79632432443487,28.510860446999686
