SpecificEnergy,SEIGrouth,TempIncrease,Price,UpperViolation,LowerViolation,TotalTime,CompilationTime,SolvingTime,Failure,TimeSteps,LastVoltage,C,la,lp,lo,ln,lz,Lh,Rp,Rn,Rcell,efp,efo,efn,mat,Ns,Np
10788.338980633125,2.9953883002527103e-15,0.5031875633642623,-246.4596111873052,9.353522914289876,-14.153522914289887,153.95506753399968,0.15443126400350593,153.80063626999618,,129500,2.497722739310108,2.813165,2.238231e-05,0.00023700835000000004,6.528655000000001e-05,7.990635e-05,2.376867e-05,0.0540841,8.958827e-06,4.1068962500000003e-05,0.0041357650000000004,0.3129725,0.44456249999999997,0.5672025,LFP,16,72
31287.412337838952,3.376956270920839e-15,0.6070986346557307,8837.364143478932,212.31910797416592,-217.11910797416593,187.89202101500996,0.15607056600856595,187.7359504490014,,159440,2.4965012608500396,1.975075,2.776341e-05,0.00024941305000000005,6.259105000000001e-05,5.589665e-05,2.195517e-05,0.0958591,1.5169889000000004e-05,4.7378232500000005e-05,0.004533715,0.1158275,0.1043975,0.5037275,LFP,71,46
36104.60632868769,2.444359381898368e-15,0.29315420595507174,-3893.3747989108356,56.19665388265838,-60.99665388265839,56.8892168099992,0.1669772839959478,56.72223952600325,,23090,2.4942550075368928,2.4751550000000004,2.545095e-05,5.494675000000001e-05,5.673115000000001e-05,7.074665000000001e-05,2.928135e-05,0.044094100000000004,1.224353e-06,1.0736352500000001e-05,0.012610105000000002,0.4687675,0.3821875,0.5773425,LFP,28,63
40510.07348680704,2.9648777114252316e-15,0.5859999916038047,9888.185496730002,113.5239984950743,-118.3239984950743,144.0989905239985,0.1624715770012699,143.93651894699724,,114760,2.4946593605702763,2.5149410000000003,1.9936830000000004e-05,0.00022497745000000003,2.3963950000000003e-05,0.00013949555,2.1930510000000004e-05,0.0668557,1.0302257000000002e-05,6.366987500000002e-06,0.007018855000000001,0.2190225,0.4963075,0.1534625,LCO,44,53
32916.643141638066,2.269160818907794e-15,0.19245785537856192,19871.10438423362,161.810941136919,-166.61094113691902,69.96586076999665,0.16843998499098234,69.79742078500567,,38370,2.493292793165626,1.9238510000000002,2.5887810000000004e-05,4.6164550000000005e-05,2.9547550000000005e-05,0.00011335845,2.7652890000000004e-05,0.0886285,5.551049000000001e-06,1.2549537500000002e-05,0.007700515000000001,0.1097475,0.24570250000000002,0.5873875000000001,LCO,57,58
114745.08754761366,2.5636376542589906e-15,0.34281949084895186,86388.09704823532,122.89678938066317,-127.69678938066318,87.13046181900427,0.1580343690002337,86.97242745000403,,58160,2.486570214950216,2.3000510000000003,2.5899510000000002e-05,9.696565e-05,8.876935000000001e-05,6.0274650000000004e-05,2.3833650000000002e-05,0.051367300000000005,1.8871499000000004e-05,3.773513750000001e-05,0.017686855,0.32225250000000005,0.2454875,0.2092575,LCO,47,67
12933.46179599299,2.488723884194409e-15,2.0480241679374807,4151.765853862265,16.450296826201665,-21.250296826201676,48.6911236649903,0.19564073299989104,48.49548293199041,Nan,870,3.1929586531155754,3.183551,2.3747430000000004e-05,0.00017511295000000003,6.631525000000001e-05,7.098535000000001e-05,1.675839e-05,0.043805500000000004,1.7773787000000004e-05,3.8258352500000006e-05,0.021095155000000004,0.2583225,0.30786750000000007,0.37423249999999997,LFP,18,15
15520.024924317726,2.8727525231342153e-15,0.18034280870047117,-127.1952795541359,-20.10924310994191,15.3092431099419,234.0696446850052,0.16101857300964184,233.90862611199555,,225410,2.4982159412819454,1.930197,1.751331e-05,0.00024972385000000005,5.047435000000001e-05,0.00012096055,1.3708290000000002e-05,0.059344900000000006,3.208709e-06,1.3704372500000002e-05,0.004603225,0.3476175,0.4080675,0.5032125000000001,LFP,8,86
107122.45015187253,2.5552919847443734e-15,1.1023537628487157,21532.54431104617,51.86995060605503,-56.66995060605504,55.45670418899681,0.16092527299770154,55.29577891599911,,21550,2.4885317542723433,3.530263,1.7391090000000003e-05,5.1899650000000004e-05,9.046945000000002e-05,0.00014341045,2.421291e-05,0.09687010000000001,1.3108511e-05,7.3094675e-06,0.016528075000000003,0.1654775,0.4166525,0.5728375,LCO,28,58
81241.24350587779,3.2777675339865883e-15,1.7587425750497703,5036.605196193562,-3.2152328642381107,-1.5847671357619006,58.05549904299551,0.17648661400016863,57.87901242899534,Nan,23770,2.5776422790841833,2.7645630000000003,2.1837810000000004e-05,0.00019021195,7.452595000000001e-05,6.432925e-05,2.2961190000000002e-05,0.06857110000000001,1.7065145000000003e-05,2.3348952500000003e-05,0.018299845000000002,0.5007775,0.1684325,0.5881875,LCO,13,35
252928.4492862263,2.853005580721093e-15,0.41203521930522014,120726.06045278088,69.05858402982237,-73.85858402982238,142.46680329299124,0.18522841400408652,142.28157487898716,,116580,2.487479662288379,2.9266330000000003,2.6691330000000002e-05,0.00020526475,7.792525000000001e-05,0.00010082394999999999,2.882991e-05,0.08333410000000001,8.761619000000001e-06,5.681412500000001e-06,0.020045785000000003,0.1712225,0.1011925,0.5146025000000001,LCO,32,79
394097.78457561904,2.7754540687593106e-15,0.05794222890188413,198968.71435894707,166.89759122147504,-171.69759122147505,309.68679495100514,0.17395899699477013,309.51283595401037,,314080,2.4984099409684677,0.675095,1.203915e-05,0.00023851195,3.326455e-05,6.026255e-05,2.5262670000000003e-05,0.0895327,1.0274735e-05,1.5284412500000003e-05,0.024375565000000005,0.5298225,0.1645925,0.35585750000000005,LCO,57,61
7927.8778449377305,2.7435176635250515e-15,4.093535271708,-58.966404515691245,45.52193694146011,-50.32193694146012,37.42684320099943,0.17512520001037046,37.25171800098906,Nan,3110,2.9574093545068343,2.131901,1.694955e-05,0.00017719405,4.710835e-05,8.383995000000001e-05,1.854435e-05,0.08681350000000002,1.1072873000000001e-05,4.550614250000001e-05,0.006898945000000001,0.5850225,0.1680025,0.4626025,LFP,27,12
309176.79156466865,2.817394297004371e-15,0.29545343370391725,67407.06137886482,9.252576348056834,-14.052576348056846,125.39141141499567,0.16440047799551394,125.22701093700016,,82390,2.4959928576380763,3.2551430000000003,1.8225570000000002e-05,0.00014492125,5.249665000000001e-05,5.963335e-05,2.9775450000000003e-05,0.09876430000000001,4.694897e-06,2.2186692500000002e-05,0.018717325,0.36583750000000004,0.2783375,0.3114675,LCO,16,94
