SpecificEnergy,SEIGrouth,TempIncrease,Price,UpperViolation,LowerViolation,SimTime,Failure,C,la,lp,lo,ln,lz,Lh,Rc,Rp,Rn,ve_p,ve_o,ve_n,mat,Ns,Np
0.0,nan,0.0,2546.1021153231077,190.9853825586691,-195.7853825586691,26.813708765999763,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,58,77
7.540180872136316,2.0595452716434585e-15,0.6718779799674905,3174.361078844394,95.71754398984885,-100.51754398984886,26.251780874998076,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,58,96
0.0,nan,0.0,43.89831233315703,270.0599044313366,-274.85990443133664,26.72274528699927,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,77,1
0.0,nan,0.0,877.9662466631406,270.0599044313366,-274.85990443133664,26.80017880399828,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,77,20
0.0,nan,0.0,1712.0341809931242,270.0599044313366,-274.85990443133664,27.058280211997044,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,77,39
0.0,nan,0.0,2546.1021153231077,270.0599044313366,-274.85990443133664,26.23822106100124,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,77,58
0.0,nan,0.0,3380.170049653091,270.0599044313366,-274.85990443133664,26.13712340100028,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,77,77
7.540180872136316,2.0595452716434585e-15,0.6718779799674905,4214.237983983075,143.5836359865235,-148.3836359865235,26.573768324997218,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,77,96
0.0,nan,0.0,54.730363428351616,349.134426304004,-353.9344263040041,29.884943885997927,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,96,1
0.0,nan,0.0,1094.6072685670326,349.134426304004,-353.9344263040041,26.088194267998915,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,96,20
0.0,nan,0.0,2134.484173705713,349.134426304004,-353.9344263040041,25.71381511099753,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,96,39
0.0,nan,0.0,3174.361078844394,349.134426304004,-353.9344263040041,25.959031920996495,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,96,58
0.0,nan,0.0,4214.237983983075,349.134426304004,-353.9344263040041,24.485786846002156,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,96,77
7.540180872136316,2.0595452716434585e-15,0.6718779799674905,5254.114889121755,191.4497279831981,-196.2497279831981,25.28975317200093,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.1,LFP,96,96
0.0,nan,0.0,0.877315783119086,-46.238183059333295,41.438183059333284,24.793032911999035,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,1,1
0.0,nan,0.0,17.54631566238172,-46.238183059333295,41.438183059333284,25.13099630799843,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,1,20
0.0,nan,0.0,34.21531554164435,-46.238183059333295,41.438183059333284,25.32735646799847,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,1,39
0.0,nan,0.0,50.88431542090699,-46.238183059333295,41.438183059333284,25.665354974000365,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,1,58
0.0,nan,0.0,67.55331530016963,-46.238183059333295,41.438183059333284,36.91683156799991,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,1,77
8.756619374072814,1.805030756887823e-15,0.6061061592500323,84.22231517943224,-47.673189795394826,42.873189795394815,24.244678553004633,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,1,96
0.0,nan,0.0,17.54631566238172,32.83633881333418,-37.63633881333419,25.590305908997834,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,20,1
0.0,nan,0.0,350.92631324763437,32.83633881333418,-37.63633881333419,25.00682727200183,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,20,20
0.0,nan,0.0,684.3063108328871,32.83633881333418,-37.63633881333419,24.634138861998508,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,20,39
0.0,nan,0.0,1017.6863084181397,32.83633881333418,-37.63633881333419,23.944368644995848,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,20,58
0.0,nan,0.0,1351.0663060033926,32.83633881333418,-37.63633881333419,25.74326271800237,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,20,77
8.756619374072814,1.805030756887823e-15,0.6061061592500323,1684.4463035886452,4.136204092103583,-8.936204092103594,24.847597863001283,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,20,96
0.0,nan,0.0,34.21531554164435,111.91086068600166,-116.71086068600167,24.99421924300259,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,39,1
0.0,nan,0.0,684.3063108328871,111.91086068600166,-116.71086068600167,25.066280731996812,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,39,20
0.0,nan,0.0,1334.3973061241297,111.91086068600166,-116.71086068600167,24.26193337100267,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,39,39
0.0,nan,0.0,1984.4883014153725,111.91086068600166,-116.71086068600167,24.680765573000826,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,39,58
0.0,nan,0.0,2634.579296706615,111.91086068600166,-116.71086068600167,25.00314046400308,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,39,77
8.756619374072814,1.805030756887823e-15,0.6061061592500323,3284.670291997858,55.945597979601985,-60.745597979601996,24.175107490998926,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,39,96
0.0,nan,0.0,50.88431542090699,190.9853825586691,-195.7853825586691,25.047370275002322,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,58,1
0.0,nan,0.0,1017.6863084181397,190.9853825586691,-195.7853825586691,24.510745489002147,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,58,20
0.0,nan,0.0,1984.4883014153725,190.9853825586691,-195.7853825586691,25.62060482900415,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,58,39
